ticker,ITRM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-25,-1.1538
2018-05-29,-4.7471
2018-05-30,-0.7353
2018-05-31,-5.8436
2018-06-01,6.993
2018-06-04,-0.6536
2018-06-05,-0.4934
2018-06-06,-0.3306
2018-06-07,-0.4975
2018-06-08,0.9167
2018-06-11,-0.9083
2018-06-12,1.6667
2018-06-13,0.0
2018-06-14,0.4098
2018-06-15,0.0
2018-06-18,-2.0408
2018-06-19,2.9167
2018-06-20,-0.4049
2018-06-21,-2.439
2018-06-22,1.4167
2018-06-25,-0.493
2018-06-26,-0.3303
2018-06-27,-4.7225
2018-06-28,0.0
2018-06-29,-7.2174
2018-07-02,-7.6851
2018-07-03,1.1168
2018-07-05,-6.2249
2018-07-06,-6.1028
2018-07-09,-1.3683
2018-07-10,-2.3121
2018-07-11,-1.7751000000000001
2018-07-12,4.0964
2018-07-13,2.3148
2018-07-16,-3.2805
2018-07-17,2.7485
2018-07-18,-4.9516
2018-07-19,0.2395
2018-07-20,0.0
2018-07-23,0.9558
2018-07-24,4.497
2018-07-25,-5.3228
2018-07-26,-0.1196
2018-07-27,10.2994
2018-07-30,-3.2096
2018-07-31,4.2123
2018-08-01,-2.5856
2018-08-02,-4.9692
2018-08-03,0.2326
2018-08-06,-0.8121
2018-08-07,-0.3509
2018-08-08,0.1174
2018-08-09,4.1032
2018-08-10,-1.0721
2018-08-13,-2.4781
2018-08-14,0.4424
2018-08-15,-2.3823
2018-08-16,3.2143
2018-08-17,0.346
2018-08-20,2.8736
2018-08-21,3.1285
2018-08-22,2.9252000000000002
2018-08-23,5.2632
2018-08-24,0.5
2018-08-27,0.0498
2018-08-28,0.6962
2018-08-29,2.716
2018-08-30,-2.1154
2018-08-31,-1.1788
2018-09-04,-6.5606
2018-09-05,0.5319
2018-09-06,-3.2804
2018-09-07,2.8446
2018-09-10,-10.5319
2018-09-11,0.0
2018-09-12,7.7289
2018-09-13,-1.6556
2018-09-14,-2.4691
2018-09-17,-1.611
2018-09-18,0.2339
2018-09-19,-3.6173
2018-09-20,-16.8281
2018-09-21,9.0247
2018-09-24,-10.4139
2018-09-25,-5.6632
2018-09-26,-1.4218
2018-09-27,2.5641
2018-09-28,3.5156
2018-10-01,2.0377
2018-10-02,0.5917
2018-10-03,7.0588
2018-10-04,-7.2802
2018-10-05,-1.037
2018-10-08,-1.1976
2018-10-09,1.8212000000000002
2018-10-10,-9.2289
2018-10-11,4.5902
2018-10-12,0.3135
2018-10-15,-4.0625
