ticker,LMNR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-04-19,3.3333
2000-10-06,12.9032
2000-11-01,0.0
2001-02-20,8.5714
2001-02-22,0.0
2001-02-23,0.0
2001-02-26,-19.7368
2001-03-07,24.5902
2001-03-09,-14.473700000000001
2001-03-15,0.0
2001-03-26,0.0
2001-03-27,0.0
2001-06-14,-4.6154
2001-11-08,23.5772
2001-11-15,5.2632
2001-11-30,3.75
2001-12-03,1.2048
2001-12-10,-7.1429
2001-12-12,-1.9231
2001-12-13,7.1895
2002-01-07,-1.5951
2002-01-15,4.7382
2002-03-04,1.1905000000000001
2002-03-05,0.0
2002-03-12,0.0
2002-06-17,1.1905000000000001
2002-06-18,0.0
2002-06-21,0.0
2002-07-11,0.0
2002-07-17,3.5294
2002-07-18,4.5455
2002-07-29,-8.6957
2002-08-23,7.7381
2002-09-30,0.5556
2002-10-08,-3.6464
2002-10-10,0.0
2002-10-14,0.344
2002-10-15,5.1429
2002-10-24,-5.2174
2002-11-05,0.0
2002-11-20,7.2248
2002-11-21,-6.4171
2002-12-23,3.4959
2003-01-08,-2.7778
2003-01-16,5.1429
2003-01-22,-4.8913
2003-02-18,0.5714
2003-02-19,5.6818
2003-03-04,5.3763
2003-03-11,-6.1224
2003-03-13,1.087
2003-03-21,3.8064999999999998
2003-04-09,-3.6458
2003-04-24,2.7027
2003-05-19,0.2105
2003-05-22,1.4076
2003-05-23,2.0833
2003-07-14,2.0408
2003-07-21,2.0
2003-07-22,-0.9804
2003-07-24,0.495
2003-07-25,2.4631
2003-07-31,2.8846
2003-08-27,3.2864
2003-09-10,3.1818
2003-09-11,0.0
2003-09-12,0.0
2003-09-15,2.2026
2003-10-06,-0.8621
2003-10-16,0.0
2003-10-17,0.0
2003-10-20,3.4783
2003-10-22,0.8403
2003-11-12,-4.1667
2003-11-18,-4.3478
2003-12-11,5.4545
2003-12-17,-1.2987
2003-12-18,2.6316
2003-12-19,-3.4188
2004-01-22,4.4248
2004-03-16,5.0847
2004-03-18,2.4194
2004-03-22,-5.1383
2004-04-22,3.3333
2004-04-28,-3.2258
2004-04-29,5.0
2004-05-03,1.5873
2004-05-04,3.125
2004-07-26,1.1407
2004-07-27,4.5113
2004-08-12,5.7554
2004-09-01,7.8498
2004-09-14,7.5949
2004-09-15,3.5294
2004-09-27,0.0
2004-10-01,4.5455
2004-10-05,1.087
2004-10-15,2.1505
2004-11-18,5.0
2004-11-19,-3.7594
2004-12-06,6.25
2004-12-07,6.8627
