ticker,OTIS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-03-20,-0.5525
2020-03-23,-11.1111
2020-03-24,0.0
2020-03-25,2.525
2020-03-26,9.7293
2020-03-27,0.5222
2020-03-30,10.5339
2020-03-31,0.0
2020-04-01,-6.6
2020-04-02,-5.7816
2020-04-03,7.5455
2020-04-06,-2.9163
2020-04-07,-3.6134
2020-04-08,-0.4291
2020-04-09,11.4538
2020-04-13,-6.3899
2020-04-14,-0.2391
2020-04-15,-2.92
2020-04-16,2.4018
2020-04-17,1.1618
2020-04-20,-1.6468
2020-04-21,1.1236
2020-04-22,2.5054
2020-04-23,0.8927
2020-04-24,0.8005
2020-04-27,0.7732
2020-04-28,3.4011
2020-04-29,2.5872
2020-04-30,-0.4692
2020-05-01,-2.3571
2020-05-04,-0.3621
2020-05-05,-2.9073
2020-05-06,0.4575
2020-05-07,7.2449
2020-05-08,2.2003
2020-05-11,-2.153
2020-05-12,-4.034
2020-05-13,-3.037
2020-05-14,-0.4356
2020-05-15,1.8542
2020-05-18,6.6271
2020-05-19,0.3453
2020-05-20,1.6632
2020-05-21,-1.7864
2020-05-22,-0.615
2020-05-26,-1.5857999999999999
2020-05-27,2.9279
2020-05-28,-2.711
2020-05-29,3.3163
2020-06-01,2.716
2020-06-02,0.1294
2020-06-03,2.4377
2020-06-04,-0.1262
2020-06-05,5.7219999999999995
2020-06-08,4.5928
2020-06-09,-0.9958
2020-06-10,-2.6711
2020-06-11,-4.7095
2020-06-12,-0.3733
2020-06-15,2.9086
2020-06-16,0.3121
2020-06-17,-1.9188
2020-06-18,1.3218
2020-06-19,-0.8523
2020-06-22,0.1053
2020-06-23,-0.4557
2020-06-24,-2.2183
2020-06-25,1.1883
2020-06-26,-0.7295
2020-06-29,1.3981
2020-06-30,0.5126
2020-07-01,-1.8994
2020-07-02,1.2908
2020-07-06,0.6372
2020-07-07,-0.0703
2020-07-08,0.176
2020-07-09,-1.423
2020-07-10,1.5505
2020-07-13,-0.158
2020-07-14,0.8437
2020-07-15,1.4466999999999999
2020-07-16,0.2062
2020-07-17,0.3944
2020-07-20,0.0171
2020-07-21,-0.2049
2020-07-22,0.0684
2020-07-23,0.9918
2020-07-24,-1.5747
2020-07-27,0.3269
2020-07-28,3.3608000000000002
2020-07-29,6.6689
2020-07-30,-1.4152
2020-07-31,-1.0254
