ticker,CDXS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-04-22,2.0
2010-04-23,5.8824
2010-04-26,2.9202
2010-04-27,-1.0381
2010-04-28,-2.9371
2010-04-29,-2.7378
2010-04-30,0.8889
2010-05-03,3.5977
2010-05-04,-2.9057
2010-05-05,-2.1898
2010-05-06,-2.1642
2010-05-07,0.6865
2010-05-10,4.2424
2010-05-11,-0.9448
2010-05-12,-4.3286999999999995
2010-05-13,-0.1534
2010-05-14,0.0768
2010-05-17,0.0
2010-05-18,-0.2302
2010-05-19,-1.6923
2010-05-20,1.0172
2010-05-21,0.6971
2010-05-24,-0.5385
2010-05-25,-2.2428
2010-05-26,-9.8101
2010-05-27,-4.5614
2010-05-28,-4.9632
2010-06-01,4.4487
2010-06-02,-2.037
2010-06-03,1.3233
2010-06-04,-0.7463
2010-06-07,-7.5188
2010-06-08,1.3211
2010-06-09,-1.8054000000000001
2010-06-10,2.4515000000000002
2010-06-11,-0.1994
2010-06-14,0.1998
2010-06-15,1.1964
2010-06-16,4.0394
2010-06-17,-2.6515
2010-06-18,-7.5875
2010-06-21,9.5789
2010-06-22,-1.537
2010-06-23,-2.6341
2010-06-24,1.002
2010-06-25,-10.7143
2010-06-28,-1.1111
2010-06-29,-2.3596
2010-06-30,0.8055
2010-07-01,-2.968
2010-07-02,-7.4118
2010-07-06,-7.878
2010-07-07,-1.931
2010-07-08,1.8284
2010-07-09,2.2099
2010-07-12,-1.0811
2010-07-13,15.3005
2010-07-14,14.9289
2010-07-15,-0.5155
2010-07-16,0.1036
2010-07-19,0.3106
2010-07-20,-0.7224
2010-07-21,1.5593
2010-07-22,-2.8659
2010-07-23,-0.7376
2010-07-26,1.1677
2010-07-27,-2.4134
2010-07-28,-2.3656
2010-07-29,-0.8811
2010-07-30,-0.5556
2010-08-02,-3.6872
2010-08-03,-3.3643
2010-08-04,0.12
2010-08-05,0.0
2010-08-06,-4.1966
2010-08-09,-1.3767
2010-08-10,1.5228000000000002
2010-08-11,-5.25
2010-08-12,4.7493
2010-08-13,-2.0151
2010-08-16,2.5707
2010-08-17,5.8897
2010-08-18,-4.2604
2010-08-19,-4.2027
2010-08-20,-3.2258
2010-08-23,3.4667
2010-08-24,-2.9638999999999998
2010-08-25,-0.7968
2010-08-26,0.6693
2010-08-27,3.8564
2010-08-30,1.1524
2010-08-31,2.6582
2010-09-01,4.6856
2010-09-02,-1.8846
2010-09-03,0.6002
2010-09-07,-3.222
2010-09-08,3.4525
2010-09-09,-2.7414
