ticker,PACB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-10-27,2.75
2010-10-28,3.2237999999999998
2010-10-29,-1.0018
2010-11-01,-1.25
2010-11-02,-1.2658
2010-11-03,-11.1111
2010-11-04,-11.7445
2010-11-05,13.3074
2010-11-08,-10.783
2010-11-09,-0.2309
2010-11-10,-0.463
2010-11-11,-3.0233
2010-11-12,-2.0783
2010-11-15,6.2041
2010-11-16,-7.1483
2010-11-17,0.0828
2010-11-18,-4.2184
2010-11-19,1.209
2010-11-22,3.3276
2010-11-23,-0.6606
2010-11-24,-0.8728
2010-11-26,-3.3124000000000002
2010-11-29,4.0763
2010-11-30,5.0
2010-12-01,3.9683
2010-12-02,-2.2137000000000002
2010-12-03,1.249
2010-12-06,2.1588
2010-12-07,-1.8113000000000001
2010-12-08,-0.0769
2010-12-09,0.0
2010-12-10,5.0
2010-12-13,2.4908
2010-12-14,0.4289
2010-12-15,-2.3487999999999998
2010-12-16,3.6443
2010-12-17,-0.9142
2010-12-20,6.6004000000000005
2010-12-21,-0.3329
2010-12-22,8.7508
2010-12-23,-4.1462
2010-12-27,3.1721
2010-12-28,-1.3665
2010-12-29,3.9043
2010-12-30,-0.3636
2010-12-31,-3.2237999999999998
2011-01-03,2.4513
2011-01-04,-2.2086
2011-01-05,-1.2547
2011-01-06,-4.3202
2011-01-07,0.8632
2011-01-10,-0.9217
2011-01-11,6.7774
2011-01-12,-0.4356
2011-01-13,-2.4375
2011-01-14,0.9609
2011-01-18,0.0635
2011-01-19,-2.7267
2011-01-20,-2.9987
2011-01-21,-3.629
2011-01-24,3.2775
2011-01-25,1.2154
2011-01-26,2.4683
2011-01-27,0.4557
2011-01-28,-2.2683
2011-01-31,4.7745
2011-02-01,2.0886
2011-02-02,-1.6739000000000002
2011-02-03,-1.4502
2011-02-04,3.199
2011-02-07,-1.1159
2011-02-08,-0.8777
2011-02-09,-1.7078
2011-02-10,0.7722
2011-02-11,2.6181
2011-02-14,-0.809
2011-02-15,0.2509
2011-02-16,-5.4443
2011-02-17,-0.5956
2011-02-18,-1.3981
2011-02-22,1.2154
2011-02-23,4.0027
2011-02-24,0.5773
2011-02-25,0.4464
2011-02-28,-0.0635
2011-03-01,-4.5743
2011-03-02,-0.6658
2011-03-03,1.0054
2011-03-04,-2.5216
2011-03-07,-6.3308
2011-03-08,2.907
2011-03-09,0.6356
2011-03-10,-1.8947
2011-03-11,0.7868
2011-03-14,1.2065
2011-03-15,-0.1403
2011-03-16,-5.3371
