ticker,NSP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-3.3058
2000-01-05,-7.0513
2000-01-06,-17.4713
2000-01-07,-0.8357
2000-01-10,6.7416
2000-01-11,6.3158
2000-01-12,-2.9703
2000-01-13,-1.5306
2000-01-14,6.7358
2000-01-18,-9.2233
2000-01-19,-1.3369
2000-01-20,4.607
2000-01-21,3.6269
2000-01-24,2.25
2000-01-25,2.6895
2000-01-26,8.0952
2000-01-27,-2.2026
2000-01-28,-6.3063
2000-01-31,0.9615
2000-02-01,-3.8095
2000-02-02,-0.9901
2000-02-03,4.0
2000-02-04,-2.6442
2000-02-07,-1.2346
2000-02-08,-3.5
2000-02-09,-0.2591
2000-02-10,-0.5195
2000-02-11,-2.0888
2000-02-14,1.3333
2000-02-15,16.8421
2000-02-16,2.7027
2000-02-17,2.6316
2000-02-18,-4.4872
2000-02-22,6.9351
2000-02-23,-0.2092
2000-02-24,2.0964
2000-02-25,-2.6694
2000-02-28,15.6118
2000-02-29,20.438
2000-03-01,-2.4242
2000-03-02,4.0373
2000-03-03,-6.7164
2000-03-06,-1.28
2000-03-07,-0.3241
2000-03-08,3.0894
2000-03-09,-0.6309
2000-03-10,5.7143
2000-03-13,-0.4505
2000-03-14,-3.1673999999999998
2000-03-15,-3.4268
2000-03-16,2.0968
2000-03-17,-4.8972999999999995
2000-03-20,-2.3256
2000-03-21,-2.2109
2000-03-22,1.3913
2000-03-23,-0.1715
2000-03-24,-1.5464
2000-03-27,0.1745
2000-03-28,5.9233
2000-03-29,1.6447
2000-03-30,0.1618
2000-03-31,1.454
2000-04-03,3.6624
2000-04-04,-9.9846
2000-04-05,2.3891
2000-04-06,-2.5
2000-04-07,1.1966
2000-04-10,-1.1824
2000-04-11,3.9316
2000-04-12,5.9211
2000-04-13,9.1615
2000-04-14,-9.1038
2000-04-17,-11.4241
2000-04-18,10.2473
2000-04-19,-2.5641
2000-04-20,1.0074
2000-04-24,2.585
2000-04-25,2.0635
2000-04-26,-0.311
2000-04-27,-0.468
2000-04-28,0.9404
2000-05-01,15.528
2000-05-02,0.9409
2000-05-03,-0.9321
2000-05-04,5.3763
2000-05-05,2.0408
2000-05-08,5.0
2000-05-09,0.9524
2000-05-10,-0.9434
2000-05-11,1.6667
2000-05-12,1.0539
2000-05-15,-0.3476
2000-05-16,-3.3721
2000-05-17,-7.0999
2000-05-18,-4.2746
2000-05-19,-0.1353
2000-05-22,-3.9295
2000-05-23,-2.3977
