ticker,SPKE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-29,-0.7222
2014-07-30,-3.1337
2014-07-31,-1.0399
2014-08-01,0.3503
2014-08-04,1.8034
2014-08-05,-1.5429
2014-08-06,2.7278000000000002
2014-08-07,-0.5085
2014-08-08,0.2271
2014-08-11,0.5099
2014-08-12,-1.071
2014-08-13,-1.9943
2014-08-14,2.6744
2014-08-15,-0.906
2014-08-18,1.3714
2014-08-19,-0.5073
2014-08-20,-0.7932
2014-08-21,0.9709
2014-08-22,1.0747
2014-08-25,-2.4622
2014-08-26,1.8359
2014-08-27,-0.2817
2014-08-28,-0.1695
2014-08-29,-0.7923
2014-09-02,0.6845
2014-09-03,-1.0198
2014-09-04,0.0
2014-09-05,-0.4007
2014-09-08,-0.0575
2014-09-09,0.1725
2014-09-10,-1.2629000000000001
2014-09-11,-0.5814
2014-09-12,-0.5848
2014-09-15,-1.9412
2014-09-16,-0.24
2014-09-17,-0.3608
2014-09-18,0.4225
2014-09-19,0.2404
2014-09-22,-2.2182
2014-09-23,4.8437
2014-09-24,1.6959
2014-09-25,-0.5175
2014-09-26,0.4624
2014-09-29,2.0426
2014-09-30,-2.0581
2014-10-01,-1.612
2014-10-02,0.117
2014-10-03,1.5196
2014-10-06,-3.2815
2014-10-07,-0.8929
2014-10-08,3.4234
2014-10-09,0.0581
2014-10-10,-0.1741
2014-10-13,-0.6977
2014-10-14,0.2927
2014-10-15,-0.5254
2014-10-16,-3.0516
2014-10-17,0.4237
2014-10-20,0.6631
2014-10-21,-0.0599
2014-10-22,-1.1384
2014-10-23,4.3636
2014-10-24,-4.878
2014-10-27,-1.3431
2014-10-28,-0.1238
2014-10-29,0.062
2014-10-30,-0.9907
2014-10-31,1.3133
2014-11-03,-2.0987999999999998
2014-11-04,-1.5763
2014-11-05,1.6015000000000001
2014-11-06,4.2875
2014-11-07,0.7255
2014-11-10,-1.9808
2014-11-11,-1.3472
2014-11-12,3.6623
2014-11-13,-2.0958
2014-11-14,-0.6728
2014-11-17,7.8818
2014-11-18,-2.0548
2014-11-19,-2.5641
2014-11-20,-3.7081
2014-11-21,-1.9876
2014-11-24,-5.1965
2014-11-25,-4.008
2014-11-26,0.0
2014-11-28,-0.779
2014-12-01,-4.0685
2014-12-02,0.0
2014-12-03,0.6696
2014-12-04,1.4782
2014-12-05,1.748
2014-12-08,-1.1453
2014-12-09,0.6517
2014-12-10,-0.3597
2014-12-11,1.444
2014-12-12,4.8399
2014-12-15,-0.5431
