ticker,LAUR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-02-01,-5.3571
2017-02-02,-1.8868
2017-02-03,2.0769
2017-02-06,0.8289
2017-02-07,0.2242
2017-02-08,-2.088
2017-02-09,0.0
2017-02-10,0.9901
2017-02-13,0.3771
2017-02-14,-0.7513
2017-02-15,-0.8327
2017-02-16,-0.0763
2017-02-17,0.1528
2017-02-21,2.1358
2017-02-22,-2.0164
2017-02-23,0.4573
2017-02-24,0.4552
2017-02-27,-0.6042
2017-02-28,-1.0638
2017-03-01,-0.3072
2017-03-02,-3.1587
2017-03-03,-0.5569
2017-03-06,2.96
2017-03-07,-0.5439
2017-03-08,0.3125
2017-03-09,-2.4143
2017-03-10,1.8356
2017-03-13,1.6458
2017-03-14,-1.3107
2017-03-15,2.0313
2017-03-16,-0.9188
2017-03-17,3.7866999999999997
2017-03-20,2.4572
2017-03-21,0.7994
2017-03-22,-1.0094
2017-03-23,-0.5827
2017-03-24,-2.2711
2017-03-27,1.6492
2017-03-28,2.5074
2017-03-29,1.7266
2017-03-30,-0.7072
2017-03-31,1.6381999999999999
2017-04-03,-0.6307
2017-04-04,1.763
2017-04-05,-2.0097
2017-04-06,0.9194
2017-04-07,1.3315000000000001
2017-04-10,2.8354
2017-04-11,-0.8742
2017-04-12,-0.0678
2017-04-13,-0.8826
2017-04-17,1.5753
2017-04-18,-0.6743
2017-04-19,-1.4936
2017-04-20,-0.2757
2017-04-21,-1.4513
2017-04-24,0.0
2017-04-25,-0.8415
2017-04-26,-0.1414
2017-04-27,-0.6374
2017-04-28,-1.5681
2017-05-01,-1.5206
2017-05-02,-3.3824
2017-05-03,1.0654
2017-05-04,0.1506
2017-05-05,1.9548999999999999
2017-05-08,0.0737
2017-05-09,-0.2211
2017-05-10,1.3294000000000001
2017-05-11,10.3499
2017-05-12,1.5852
2017-05-15,-1.3004
2017-05-16,-0.3294
2017-05-17,3.5691
2017-05-18,-3.1908
2017-05-19,2.7027
2017-05-22,1.9897
2017-05-23,3.1466
2017-05-24,-0.3051
2017-05-25,0.306
2017-05-26,0.2441
2017-05-30,0.6695
2017-05-31,1.0883
2017-06-01,4.3062000000000005
2017-06-02,2.0069
2017-06-05,-0.787
2017-06-06,-0.4533
2017-06-07,-3.3011
2017-06-08,0.7652
2017-06-09,2.8621
2017-06-12,-0.4543
2017-06-13,1.1409
2017-06-14,0.9024
2017-06-15,-0.8385
2017-06-16,2.4239
2017-06-19,1.8712
2017-06-20,-1.4046
2017-06-21,1.3699
