ticker,SSSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-28,-2.6667
2011-04-29,-0.3425
2011-05-02,-1.2977
2011-05-03,-0.9831
2011-05-04,-3.0239
2011-05-05,-3.3358
2011-05-06,2.7757
2011-05-09,0.5109
2011-05-10,-2.5418
2011-05-11,-0.8942
2011-05-12,-0.3759
2011-05-13,1.1320999999999999
2011-05-16,1.3815
2011-05-17,-2.8349
2011-05-18,0.9091
2011-05-19,-0.1502
2011-05-20,-0.1504
2011-05-23,-0.9036
2011-05-24,2.5076
2011-05-25,1.705
2011-05-26,-0.5102
2011-05-27,0.2198
2011-05-31,-1.1696
2011-06-01,-0.9615
2011-06-02,-0.8962
2011-06-03,1.4318
2011-06-06,-0.1486
2011-06-07,0.2232
2011-06-08,-1.2621
2011-06-09,-3.2331
2011-06-10,-3.0303
2011-06-13,-8.3413
2011-06-14,4.1175
2011-06-15,-1.7631999999999999
2011-06-16,-10.2575
2011-06-17,4.8584
2011-06-20,0.7266
2011-06-21,-1.7133
2011-06-22,0.1835
2011-06-23,0.3663
2011-06-24,-6.2956
2011-06-27,41.8695
2011-06-28,-4.5985
2011-06-29,5.036
2011-06-30,-4.589
2011-07-01,3.0869
2011-07-05,0.9749
2011-07-06,-0.8276
2011-07-07,2.2253
2011-07-08,10.2041
2011-07-11,11.2346
2011-07-12,-0.8879
2011-07-13,-3.1355
2011-07-14,3.9306
2011-07-15,5.1168
2011-07-18,3.2487
2011-07-19,-10.8332
2011-07-20,2.5862
2011-07-21,-1.1204
2011-07-22,-2.5496
2011-07-25,-0.9884
2011-07-26,-0.2349
2011-07-27,-1.8835
2011-07-28,-5.4589
2011-07-29,2.665
2011-08-01,-1.1125
2011-08-02,-1.0625
2011-08-03,0.3159
2011-08-04,-6.927
2011-08-05,-6.6982
2011-08-08,-8.5569
2011-08-09,22.5218
2011-08-10,-2.2654
2011-08-11,2.0538
2011-08-12,-1.0391
2011-08-15,-0.8525
2011-08-16,1.9180000000000001
2011-08-17,-1.4925
2011-08-18,-5.1383
2011-08-19,2.0148
2011-08-22,-4.2214
2011-08-23,-0.7107
2011-08-24,0.7874
2011-08-25,13.892
2011-08-26,5.3879
2011-08-29,-2.6627
2011-08-30,-0.7295
2011-08-31,-3.1231
2011-09-01,-2.8445
2011-09-02,0.8458
2011-09-06,1.4839
2011-09-07,2.5429
2011-09-08,-1.4879
2011-09-09,-7.0477
2011-09-12,-0.204
2011-09-13,0.8141
2011-09-14,-1.2113
2011-09-15,1.6349
