ticker,GKOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-25,73.4444
2015-06-26,-10.3139
2015-06-29,0.0
2015-06-30,3.5
2015-07-01,-3.3816
2015-07-02,0.3214
2015-07-06,6.8352
2015-07-07,-3.3655
2015-07-08,0.0
2015-07-09,4.2759
2015-07-10,1.6865
2015-07-13,-2.439
2015-07-14,-0.8333
2015-07-15,-1.916
2015-07-16,-1.8506
2015-07-17,11.5573
2015-07-20,-2.9421
2015-07-21,3.128
2015-07-22,-3.94
2015-07-23,4.1667
2015-07-24,0.375
2015-07-27,-4.7011
2015-07-28,0.5227
2015-07-29,3.9974
2015-07-30,1.0
2015-07-31,-1.6399
2015-08-03,-0.3146
2015-08-04,1.7987
2015-08-05,0.124
2015-08-06,-6.5015
2015-08-07,1.3245
2015-08-10,2.8758
2015-08-11,4.0025
2015-08-12,-2.6573
2015-08-13,2.6985
2015-08-14,-2.8414
2015-08-17,0.2201
2015-08-18,3.2633
2015-08-19,-0.1823
2015-08-20,-2.5571
2015-08-21,1.9681
2015-08-24,-11.7647
2015-08-25,-3.3333
2015-08-26,0.9698
2015-08-27,-0.9249
2015-08-28,3.1957
2015-08-31,2.1921
2015-09-01,0.4767
2015-09-02,1.1522000000000001
2015-09-03,0.1675
2015-09-04,1.204
2015-09-08,6.3781
2015-09-09,-2.7959
2015-09-10,1.4382
2015-09-11,-0.126
2015-09-14,-2.5237
2015-09-15,1.7799
2015-09-16,-0.1908
2015-09-17,0.9876
2015-09-18,-3.6278
2015-09-21,-10.7038
2015-09-22,0.8431
2015-09-23,-2.2174
2015-09-24,-4.684
2015-09-25,-3.5881
2015-09-28,-8.212
2015-09-29,3.5699
2015-09-30,2.9362
2015-10-01,-7.1931
2015-10-02,-1.9599
2015-10-05,-4.5888
2015-10-06,-2.7143
2015-10-07,4.8948
2015-10-08,-2.7065
2015-10-09,-0.8153
2015-10-12,0.8221
2015-10-13,5.1799
2015-10-14,-1.0488
2015-10-15,2.9493
2015-10-16,2.4172000000000002
2015-10-19,0.5682
2015-10-20,-2.5206
2015-10-21,-2.2292
2015-10-22,-3.0096
2015-10-23,3.2439999999999998
2015-10-26,-1.1384
2015-10-27,-3.2704
2015-10-28,-3.2381
2015-10-29,-0.1476
2015-10-30,-1.2321
2015-11-02,-2.3952
2015-11-03,3.9877000000000002
2015-11-04,2.5074
2015-11-05,-6.6667
2015-11-06,0.4111
2015-11-09,-2.4053
2015-11-10,-1.6256
2015-11-11,17.2175
2015-11-12,0.0
