ticker,SILO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-15,6.383
2014-07-08,-10.0
2014-07-23,8.8889
2014-07-24,0.0
2014-09-24,2.0408
2014-12-03,-70.0
2014-12-08,166.6667
2015-01-02,-25.0
2015-01-12,-43.3333
2015-01-16,-5.8824
2015-01-28,12.5
2015-01-29,38.8889
2015-01-30,7.2
2015-02-03,-25.3731
2015-02-11,0.0
2015-02-24,0.0
2015-02-27,28.0
2015-03-12,-6.25
2015-03-23,0.0
2015-03-26,-12.5
2015-03-30,14.2857
2015-03-31,4.1667
2015-04-27,4.0
2015-04-29,3.8462
2015-04-30,25.9259
2015-05-28,-11.7647
2015-07-07,21.3333
2015-08-27,-7.1429
2015-12-31,-34.9112
2016-01-08,-9.0909
2016-04-13,0.0
2016-11-01,-45.0
2016-12-29,-54.5455
2016-12-30,0.0
2017-02-10,100.0
2017-04-03,0.0
2017-05-02,-60.0
2018-06-07,650.0
2018-11-02,-85.0
2018-11-07,33.3333
2018-11-15,-11.3333
2018-12-04,12.782
2018-12-13,-16.6333
2018-12-20,103.9184
2018-12-21,96.0784
2019-01-02,-20.0
2019-01-03,25.0
2019-01-07,-49.0
2019-01-08,0.0
2019-01-09,7.8431
2019-01-14,-7.2727
2019-01-17,-21.1765
2019-01-31,4.4776
2019-02-06,19.0476
2019-02-14,-20.0
2019-03-25,0.0
2019-05-01,23.375
2019-05-15,-14.8936
2019-05-17,7.1429
2019-06-05,0.0
2019-06-07,-11.1111
2019-07-09,27.5
2019-07-10,-21.5686
2019-07-16,37.5
2019-08-06,-7.2727
2019-08-15,-16.8627
2019-08-19,0.0
2019-08-29,-3.3019
2019-08-30,0.0
2019-09-03,9.7561
2019-09-05,20.0
2019-09-06,-7.4074
2019-10-07,-4.5
2019-10-08,4.712
2019-10-09,-30.0
2019-10-15,8.5714
2019-10-22,57.8947
2019-11-13,0.0
2019-11-20,0.0
2019-11-25,-38.3333
2019-12-30,-5.4054
2019-12-31,0.0
2020-01-03,8.5714
2020-01-13,1.7368000000000001
2020-01-14,-1.6813
2020-01-15,-1.3418
2020-01-28,6.64
2020-03-23,-24.9812
2020-04-13,-16.6667
2020-04-28,30.0
2020-05-29,-1.5385
2020-06-01,40.625
2020-06-04,0.0
2020-07-28,9.7778
