ticker,DGJI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-31,10.0
2014-02-04,12.987
2014-02-06,13.7931
2014-02-10,11.1111
2014-02-14,6.3636
2014-02-19,3.4188
2014-02-20,4.9587
2014-02-21,3.9370000000000003
2014-02-26,2.2727
2014-02-27,2.2222
2014-02-28,1.4493
2014-03-10,-7.1429
2014-03-11,8.461500000000001
2014-03-12,0.0
2014-03-13,7.8014
2014-03-14,2.6316
2014-03-19,0.641
2014-03-20,-1.2739
2014-03-21,-1.9355
2014-03-25,1.9737
2014-03-28,-1.2903
2014-04-03,-0.6536
2014-04-07,1.3158
2014-04-11,3.8961
2014-04-15,0.0
2014-04-16,3.125
2014-04-24,-1.2121
2014-04-28,2.454
2014-05-02,13.7725
2014-05-05,-0.5263
2014-05-06,7.4074
2014-05-07,5.4187
2014-05-08,2.3364
2014-05-09,0.4566
2014-05-12,2.2727
2014-05-13,-0.8889
2014-05-14,2.6906
2014-05-15,3.0568
2014-05-16,2.1186
2014-05-19,0.8299
2014-05-20,-1.2346
2014-05-21,2.0833
2014-05-22,3.2653
2014-05-23,1.1858
2014-05-27,-1.9531
2014-05-28,1.1952
2014-05-30,0.3937
2014-06-03,1.9607999999999999
2014-06-04,0.0
2014-06-05,3.8462
2014-06-13,3.7037
2014-06-18,1.7856999999999998
2014-06-20,2.4561
2014-06-25,1.0274
2014-06-26,1.0169
2014-06-27,0.6711
2014-07-11,1.6667
2014-07-18,-1.3115
2014-07-24,-0.9967
2014-08-08,0.0
2014-08-11,0.6711
2014-08-14,5.0
2014-08-25,3.1746
2014-09-02,0.0
2014-09-19,1.5385
2014-10-16,3.0303
2014-10-28,-5.0
2014-11-07,8.3591
2014-11-17,0.0
2014-11-28,0.0
2014-12-16,-68.5714
2014-12-17,200.0
2014-12-30,7.5758
2015-01-06,0.8451
2015-01-21,42.4581
2015-01-26,-1.3725
2015-01-29,-4.5725999999999996
2015-02-04,6.25
2015-02-20,0.0
2015-02-24,-32.3529
2015-02-25,15.942
2015-02-26,-6.25
2015-02-27,0.0
2015-03-02,-6.6667
2015-03-03,-14.2857
2015-03-04,0.6667
2015-03-05,-0.6623
2015-03-09,0.0
2015-03-10,13.3333
2015-03-11,7.3529
2015-03-12,36.9863
2015-03-13,20.0
2015-03-16,-16.6667
2015-03-17,0.0
2015-03-18,6.0
2015-03-19,-1.8868
2015-03-20,0.9615
2015-03-23,-4.7619
2015-03-24,-20.0
2015-03-25,0.0
2015-03-26,18.75
