ticker,SREV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-25,21.8
2011-03-28,-5.3366
2011-03-29,2.6019
2011-03-30,5.0719
2011-03-31,-2.0113
2011-04-01,-0.5747
2011-04-04,2.3947
2011-04-05,4.3548
2011-04-06,-0.7728
2011-04-07,0.2336
2011-04-08,-0.6993
2011-04-11,-1.7997
2011-04-12,-0.9562
2011-04-13,0.2414
2011-04-14,0.2408
2011-04-15,-1.201
2011-04-18,-1.2156
2011-04-19,-2.5431
2011-04-20,-0.9259
2011-04-21,-0.1699
2011-04-25,1.1915
2011-04-26,1.5139
2011-04-27,1.657
2011-04-28,2.934
2011-04-29,-1.0293
2011-05-02,1.76
2011-05-03,1.4151
2011-05-04,9.3798
2011-05-05,-1.0631
2011-05-06,4.2264
2011-05-09,2.4742
2011-05-10,29.1751
2011-05-11,-6.2305
2011-05-12,-2.3256
2011-05-13,1.5873
2011-05-16,-2.1763
2011-05-17,6.0468
2011-05-18,3.5503
2011-05-19,2.2338
2011-05-20,1.4736
2011-05-23,0.6009
2011-05-24,-1.0453
2011-05-25,-5.2314
2011-05-26,0.0
2011-05-27,2.017
2011-05-31,1.1967
2011-06-01,-1.9022999999999999
2011-06-02,-1.0482
2011-06-03,-0.6356
2011-06-06,-0.5864
2011-06-07,3.3244
2011-06-08,-1.2455
2011-06-09,-0.4204
2011-06-10,-1.4776
2011-06-13,0.4821
2011-06-14,2.9318
2011-06-15,-2.3822
2011-06-16,-1.4324
2011-06-17,-0.4306
2011-06-20,0.7027
2011-06-21,-2.4154999999999998
2011-06-22,3.9054
2011-06-23,6.0349
2011-06-24,1.6475
2011-06-27,-0.9332
2011-06-28,3.8176
2011-06-29,3.7727
2011-06-30,2.2549
2011-07-01,-3.6004
2011-07-05,2.8478
2011-07-06,-0.6355
2011-07-07,1.8273000000000001
2011-07-08,-1.3458999999999999
2011-07-11,-4.0928
2011-07-12,-4.1726
2011-07-13,-0.4948
2011-07-14,-0.9945
2011-07-15,2.3606
2011-07-18,-6.0353
2011-07-19,-1.4621
2011-07-20,-4.0806000000000004
2011-07-21,1.3812
2011-07-22,0.9809
2011-07-25,-8.2569
2011-07-26,-0.2941
2011-07-27,-0.885
2011-07-28,4.881
2011-07-29,5.9591
2011-08-01,1.5533000000000001
2011-08-02,-3.0063
2011-08-03,-1.5769
2011-08-04,-1.3812
2011-08-05,-0.2801
2011-08-08,-6.9663
2011-08-09,-1.3285
2011-08-10,-9.1187
2011-08-11,6.6667
