ticker,SOLSD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-18,-75.0
2012-10-15,39407.0
2012-10-16,-3.3333
2012-10-17,72.4138
2012-10-18,20.0
2012-10-19,50.0
2012-10-22,53.3333
2012-10-23,30.4348
2012-10-24,5.5556
2012-10-25,-2.1053
2012-10-26,-3.2258
2012-10-31,11.1111
2012-11-02,1.0
2012-11-05,0.0
2012-11-06,0.0
2012-11-07,-0.9901
2012-11-08,-10.0
2012-11-12,12.2222
2012-11-13,2.9703
2012-11-14,-2.8846
2012-11-15,3.9604
2012-11-20,4.7619
2012-12-04,0.0
2012-12-06,0.0
2012-12-18,4.5455
2012-12-19,-12.1739
2013-02-04,-0.9901
2013-02-05,2.0
2013-02-12,-58.8235
2013-02-13,-2.3810000000000002
2013-02-14,7.3171
2013-02-15,0.0
2013-02-19,0.0
2013-02-20,0.0
2013-02-21,6.8182
2013-02-22,4.2553
2013-02-25,-1.0204
2013-02-26,-2.0619
2013-02-27,-5.2632
2013-02-28,22.2222
2013-03-01,13.4545
2013-03-04,-10.2564
2013-03-05,-8.9286
2013-03-06,-12.549
2013-03-07,-5.8296
2013-03-08,-2.3810000000000002
2013-03-11,-15.8537
2013-03-12,21.7391
2013-03-13,-4.7619
2013-03-14,5.0
2013-03-15,-4.7619
2013-03-18,5.0
2013-03-19,15.4762
2013-03-20,3.0541
2013-03-21,-8.9659
2013-03-22,1.0989
2013-03-25,9.7826
2013-03-26,0.9901
2013-03-27,-25.8088
2013-03-28,18.9296
2013-04-01,-7.4167
2013-04-02,-6.6007
2013-04-03,1.5419
2013-04-04,-6.3587
2013-04-05,2.7027
2013-04-08,26.3158
2013-04-09,-6.25
2013-04-10,-12.2222
2013-04-11,-3.7658
2013-04-12,7.8264
2013-04-15,0.0305
2013-04-16,-10.2439
2013-04-17,-3.5326
2013-04-18,-6.7606
2013-04-19,-0.3021
2013-04-22,3.0303
2013-04-23,14.7059
2013-04-24,-5.1282
2013-04-25,6.7568
2013-04-26,-11.3924
2013-04-29,-2.8571
2013-04-30,1.4706000000000001
2013-05-01,-10.1449
2013-05-02,-9.6774
2013-05-03,-7.1429
2013-05-06,7.6923
2013-05-07,7.1429
2013-05-08,-12.6667
2013-05-09,-0.7634
2013-05-10,0.0
2013-05-13,0.0
2013-05-14,-23.0769
2013-05-15,-20.0
2013-05-16,3.125
2013-05-17,9.0909
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,11.1111
2013-05-24,20.0
