ticker,LTRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.4464
2000-01-04,-0.8969
2000-01-05,1.81
2000-01-06,-7.5556
2000-01-07,-6.4904
2000-01-10,14.91
2000-01-11,-7.83
2000-01-12,-0.9709
2000-01-13,3.9215999999999998
2000-01-14,-1.8868
2000-01-18,-0.4808
2000-01-19,7.7295
2000-01-20,0.8969
2000-01-21,-1.5556
2000-01-24,-1.5800999999999998
2000-01-25,-6.1927
2000-01-26,3.1785
2000-01-27,2.8436
2000-01-28,-10.5991
2000-01-31,-0.5155
2000-02-01,0.2591
2000-02-02,3.3592
2000-02-03,5.0
2000-02-04,-0.4762
2000-02-07,-0.4785
2000-02-08,-2.4038
2000-02-09,-3.9409
2000-02-10,-1.5385
2000-02-11,33.3333
2000-02-14,4.4922
2000-02-15,0.9346
2000-02-16,-6.2963000000000005
2000-02-17,-4.5455
2000-02-18,-4.7619
2000-02-22,-2.1739
2000-02-23,-3.5556
2000-02-24,1.3825
2000-02-25,0.9091
2000-02-28,0.2252
2000-02-29,-4.2697
2000-03-01,-0.4695
2000-03-02,-2.1226
2000-03-03,6.506
2000-03-06,10.181
2000-03-07,-1.4374
2000-03-08,0.625
2000-03-09,-4.3478
2000-03-10,4.7619
2000-03-13,-0.4132
2000-03-14,5.8091
2000-03-15,0.7843
2000-03-16,-4.2802
2000-03-17,0.0
2000-03-20,-2.439
2000-03-21,0.2083
2000-03-22,7.9002
2000-03-23,5.395
2000-03-24,5.3016
2000-03-27,-0.3472
2000-03-28,2.7875
2000-03-29,0.1695
2000-03-30,-5.5838
2000-03-31,1.7921
2000-04-03,8.4507
2000-04-04,-4.2208
2000-04-05,-5.0847
2000-04-06,6.7857
2000-04-07,-4.6823
2000-04-10,-1.6667
2000-04-11,-0.2676
2000-04-12,-2.6834
2000-04-13,1.4706000000000001
2000-04-14,-3.9855
2000-04-17,-9.2453
2000-04-18,3.1185
2000-04-19,13.3065
2000-04-20,8.0071
2000-04-24,4.4481
2000-04-25,9.4637
2000-04-26,6.0519
2000-04-27,-2.9891
2000-04-28,7.423
2000-05-01,6.6493
2000-05-02,-2.3227
2000-05-03,0.6258
2000-05-04,-2.9851
2000-05-05,0.5128
2000-05-08,-0.7653
2000-05-09,-7.455
2000-05-10,-0.2778
2000-05-11,4.039
2000-05-12,0.6693
2000-05-15,4.3883
2000-05-16,4.7134
2000-05-17,0.365
2000-05-18,1.0909
2000-05-19,-2.3981
2000-05-22,-1.7199
2000-05-23,-0.75
