ticker,UVSS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-06-02,0.0
2004-06-03,-15.0
2004-06-04,17.647100000000002
2004-06-07,16.6667
2004-06-08,-1.4285999999999999
2004-06-09,-4.3478
2004-06-10,-1.5152
2004-06-14,-7.6923
2004-06-15,0.0
2004-06-16,-8.3333
2004-06-17,0.0
2004-06-18,-27.2727
2004-06-21,-27.5
2004-06-23,-48.2759
2004-06-24,180.0
2004-06-25,-4.7619
2004-06-28,12.5
2004-06-29,0.0
2004-06-30,-33.3333
2004-07-01,6.6667
2004-07-02,-37.5
2004-07-06,-42.5
2004-07-07,-30.4348
2004-07-08,31.25
2004-07-09,4.7619
2004-07-12,0.0
2004-07-13,9.0909
2004-07-14,8.3333
2004-07-15,15.3846
2004-07-16,-20.0
2004-07-19,0.0
2004-08-06,-12.5
2004-08-09,-4.7619
2004-08-10,-50.0
2004-08-12,90.0
2004-08-13,78.9474
2004-08-16,-11.7647
2004-08-25,-93.3333
2004-09-03,1300.0
2004-09-08,-28.5714
2004-09-13,0.0
2004-09-14,-10.0
2004-09-15,-60.9028
2004-09-16,127.3535
2004-09-17,0.0
2004-09-20,25.0
2004-09-21,0.0
2004-09-22,-9.0
2004-09-27,-45.0549
2004-09-28,0.0
2004-09-29,-40.0
2004-10-01,100.0
2004-10-04,-16.6667
2004-10-05,10.0
2004-10-06,36.3636
2004-10-07,-33.3333
2004-10-08,0.0
2004-10-11,50.0
2004-10-14,-23.8095
2004-10-15,-25.0
2004-10-22,16.6667
2004-10-27,-11.4286
2004-10-29,-32.2581
2004-11-02,42.8571
2004-11-03,-33.3333
2004-11-04,55.0
2004-11-05,-19.3548
2004-11-08,24.0
2004-11-09,-3.2258
2004-11-10,-13.3333
2004-11-11,-23.0769
2004-11-15,5.0
2004-11-16,11.9048
2004-11-18,-10.6383
2004-11-22,52.381
2004-11-23,-3.125
2004-11-24,9.6774
2004-11-29,0.0
2004-11-30,-26.4706
2004-12-01,4.0
2004-12-02,19.2308
2004-12-06,12.9032
2004-12-07,-14.2857
2004-12-13,3.3333
2004-12-16,-3.2258
2004-12-20,0.0
2004-12-29,-33.3333
2004-12-30,65.0
2005-01-03,6.0606
2005-01-04,0.0
2005-01-06,0.0
2005-01-07,-2.8571
2005-01-11,-4.4118
2005-01-21,38.4615
2005-01-27,-33.3333
2005-01-31,16.6667
2005-02-02,28.5714
2005-02-03,6.6667
2005-02-08,-27.0833
2005-02-10,0.0
2005-02-16,-14.2857
2005-03-03,10.0
