ticker,SGBG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-03-07,33.3333
2019-03-15,25.0
2019-03-19,-42.4
2019-03-27,0.0
2019-04-23,38.8889
2019-04-26,11.0
2019-04-29,0.0
2019-05-01,-9.9099
2019-05-02,10.0
2019-06-04,45.4545
2019-06-05,0.0
2019-06-21,-18.75
2019-07-02,-3.0769
2019-07-09,-12.6984
2019-07-24,0.0
2019-07-30,-7.2727
2019-08-05,0.0
2019-08-08,-1.9607999999999999
2019-09-05,0.0
2019-09-09,0.0
2019-09-11,0.0
2019-09-12,-0.9
2019-09-13,-2.1191
2019-09-17,-1.0309
2019-09-18,-1.0417
2019-11-19,0.0
2019-11-21,-5.2632
2019-11-22,4.0
2019-12-27,-2.6709
2020-02-12,-1.2075
2020-02-13,1.2222
2020-02-18,2.0856
2020-02-19,0.0
2020-03-13,-3.2258
2020-03-19,0.0
2020-03-20,-4.4444
2020-03-25,0.0
2020-05-07,-12.7907
2020-05-27,6.6667
2020-06-01,1.375
2020-07-17,4.8088999999999995
