ticker,BRNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-07-08,33.3333
2004-07-09,0.0
2004-07-23,0.0
2004-08-03,0.0
2004-08-04,5.0
2004-08-05,4.7619
2004-08-06,0.0
2004-08-09,-6.3636
2004-08-10,8.7379
2004-08-11,-6.25
2004-08-12,0.0
2004-08-13,0.0
2004-08-16,-14.2857
2004-08-17,16.6667
2004-08-18,-1.9048
2004-08-19,-2.9126
2004-08-20,3.0
2004-08-23,-1.9417
2004-08-24,0.0
2004-08-25,-10.8911
2004-08-26,11.1111
2004-08-31,3.0
2004-09-07,-27.1845
2004-09-08,32.0
2004-09-09,-5.0505
2004-09-10,4.2553
2004-09-13,-23.4694
2004-09-16,-13.3333
2004-09-24,4.6154
2004-10-01,0.0
2004-10-11,-55.8824
2004-10-12,6.6667
2004-10-13,-21.875
2004-10-14,20.0
2004-10-15,6.6667
2004-10-18,0.0
2004-10-19,0.0
2004-10-21,-6.25
2004-10-22,-1.6667
2004-10-25,0.0
2004-10-27,-49.1525
2004-10-28,0.0
2004-10-29,0.0
2004-11-01,0.0
2004-11-10,-3.3333
2004-11-11,-93.1034
2004-11-12,800.0
2004-11-15,-16.6667
2004-11-17,20.0
2004-11-22,0.0
2004-12-06,-33.3333
2004-12-08,16.6667
2004-12-10,0.0
2004-12-14,-71.4286
2005-02-02,50.0
2005-02-11,-33.3333
2005-02-15,-50.0
2005-04-01,800.0
2005-04-21,-98.8889
2005-04-27,0.0
2005-06-03,5900.0
2005-07-06,50.0
2005-07-15,-33.3333
2005-07-20,-58.3333
2005-07-21,20.0
2005-07-25,33.3333
2005-07-29,37.5
2005-08-02,9.0909
2005-08-10,29.1667
2005-08-11,0.0
2005-08-15,0.6452
2005-08-17,-10.2564
2005-08-22,11.4286
2005-08-24,0.0
2005-08-26,-16.6667
2005-08-29,0.0
2005-08-31,-4.6154
2005-09-01,-85.4839
2005-09-02,677.7778
2005-09-06,0.0
2005-09-08,0.0
2005-09-09,0.0
2005-09-12,0.0
2005-09-13,0.0
2005-09-14,0.0
2005-09-15,-11.4286
2005-09-16,-35.4839
2005-09-19,75.0
2005-09-23,-78.5714
2005-09-26,-33.3333
2005-09-27,600.0
2005-09-28,0.0
2005-10-05,-21.4286
2005-10-06,-18.1818
2005-10-07,11.1111
2005-10-13,-10.0
2005-10-17,11.1111
2005-10-18,60.0
2005-10-19,-37.5
2005-10-21,-10.0
2005-10-24,0.0
2005-10-27,33.3333
2005-10-28,-16.6667
2005-10-31,0.0
