ticker,SKYF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-06-05,33.3333
2000-06-06,-1.5625
2000-06-07,-36.5079
2000-06-09,-59.2
2000-06-15,105.8824
2000-06-19,-51.4286
2000-06-20,7.8431
2000-06-22,-63.6364
2000-06-28,25.0
2000-06-29,60.0
2000-06-30,-12.5
2000-07-05,8.5714
2000-07-07,31.5789
2000-07-25,0.0
2000-07-26,0.0
2000-08-01,-60.0
2000-08-02,150.0
2000-08-04,0.0
2000-08-11,-70.0
2000-08-14,233.3333
2000-08-28,25.0
2000-08-29,0.0
2000-08-30,-40.0
2000-08-31,-38.6667
2000-09-01,52.1739
2000-09-05,0.0
2000-09-07,25.0
2000-09-08,0.0
2000-09-12,-8.5714
2000-09-13,0.0
2000-09-14,20.0
2000-09-15,0.0
2000-09-18,0.0
2000-09-19,-10.4167
2000-09-21,16.2791
2000-09-25,-14.0
2000-09-26,4.6512
2000-09-28,-6.6667
2000-09-29,19.0476
2000-10-02,-12.5
2000-10-03,17.8571
2000-10-04,-15.6364
2000-10-10,5.7471
2000-10-11,8.6957
2000-10-12,-25.0
2000-10-13,6.6667
2000-10-16,-21.875
2000-10-17,-13.6
2000-10-18,0.0
2000-10-20,15.7407
2000-10-23,2.4
2000-10-25,-21.875
2000-10-26,12.0
2000-10-27,-10.7143
2000-10-30,-20.0
2000-10-31,15.0
2000-11-03,0.0
2000-11-06,-8.6957
2000-11-07,66.6667
2000-11-08,28.5714
2000-11-09,0.0
2000-11-10,-4.4444
2000-11-13,-18.6047
2000-11-15,0.0
2000-11-17,-28.5714
2000-11-20,0.0
2000-11-22,-20.0
2000-11-27,0.0
2000-11-28,0.0
2000-11-29,0.0
2000-12-01,0.0
2000-12-04,25.0
2000-12-06,8.0
2000-12-07,-11.1111
2000-12-08,-4.1667
2000-12-12,-4.3478
2000-12-13,-9.0909
2000-12-14,0.0
2000-12-15,-5.0
2000-12-18,-5.2632
2000-12-19,0.0
2000-12-20,0.0
2000-12-21,-5.5556
2000-12-26,11.7647
2000-12-27,-21.0526
2000-12-28,0.0
2000-12-29,-20.0
2001-01-02,25.0
2001-01-04,0.0
2001-01-05,-6.6667
2001-01-08,35.7143
2001-01-09,0.0
2001-01-10,5.2632
2001-01-11,0.0
2001-01-12,5.0
2001-01-16,4.7619
2001-01-17,-27.2727
2001-01-18,43.75
2001-01-19,13.0435
2001-01-22,0.0
2001-01-23,34.6154
2001-01-24,-14.2857
2001-01-25,6.6667
2001-01-26,-6.25
