ticker,CNK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-04-24,-0.4737
2007-04-25,0.899
2007-04-26,2.2537
2007-04-27,-2.614
2007-04-30,-0.5263
2007-05-01,-0.2646
2007-05-02,-2.2281
2007-05-03,-1.7906
2007-05-04,2.7624
2007-05-07,2.7957
2007-05-08,-0.523
2007-05-09,-0.1052
2007-05-10,0.0
2007-05-11,0.5789
2007-05-14,0.6279
2007-05-15,1.3001
2007-05-16,-1.1807
2007-05-17,-1.2987
2007-05-18,1.7368000000000001
2007-05-21,1.9141
2007-05-22,-0.8122
2007-05-23,-1.1771
2007-05-24,-0.4143
2007-05-25,-0.26
2007-05-29,-1.1992
2007-05-30,1.1609
2007-05-31,0.939
2007-06-01,0.5685
2007-06-04,-0.7194
2007-06-05,-0.9834
2007-06-06,-0.5227
2007-06-07,-1.2086000000000001
2007-06-08,-0.5319
2007-06-11,-0.9091
2007-06-12,0.3238
2007-06-13,-0.4841
2007-06-14,0.3784
2007-06-15,0.7001
2007-06-18,0.0
2007-06-19,-1.2833999999999999
2007-06-20,0.2709
2007-06-21,0.2161
2007-06-22,-6.0916
2007-06-25,-2.1814
2007-06-26,1.9365999999999999
2007-06-27,1.209
2007-06-28,1.9909
2007-06-29,-0.2231
2007-07-02,-2.0123
2007-07-03,-3.3657
2007-07-05,-0.8855
2007-07-06,0.4169
2007-07-09,0.8897
2007-07-10,-1.4697
2007-07-11,0.179
2007-07-12,1.7271999999999998
2007-07-13,0.9953
2007-07-16,4.2899
2007-07-17,-1.3341
2007-07-18,0.8451
2007-07-19,-0.5028
2007-07-20,-2.3582
2007-07-23,-0.5175
2007-07-24,-2.1965
2007-07-25,0.591
2007-07-26,-0.1763
2007-07-27,-3.8258
2007-07-30,2.5092
2007-07-31,-2.3881
2007-08-01,0.4281
2007-08-02,-2.9233000000000002
2007-08-03,-1.5056
2007-08-06,1.5287
2007-08-07,2.4467
2007-08-08,6.5524000000000004
2007-08-09,-2.2989
2007-08-10,-0.1176
2007-08-13,0.0
2007-08-14,-1.8846
2007-08-15,-0.9604
2007-08-16,5.3333
2007-08-17,1.1507
2007-08-20,1.2514
2007-08-21,-0.1124
2007-08-22,-0.3375
2007-08-23,-0.395
2007-08-24,1.9263
2007-08-27,2.1679
2007-08-28,-2.1763
2007-08-29,1.9466
2007-08-30,1.1457
2007-08-31,-2.3357
2007-09-04,-0.3893
2007-09-05,-1.9542000000000002
2007-09-06,4.385
2007-09-07,-0.6001
2007-09-10,-3.1284
