ticker,AC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-10,6.5769
2015-11-16,-3.284
2015-11-19,4.4771
2015-11-25,7.9648
2015-12-01,9.8247
2015-12-02,6.0542
2015-12-03,-3.6921
2015-12-04,0.2359
2015-12-07,1.4416
2015-12-08,-4.2633
2015-12-09,-2.7567
2015-12-10,-2.7725999999999997
2015-12-11,-3.6206
2015-12-14,-6.0173
2015-12-15,2.5822000000000003
2015-12-16,3.6207000000000003
2015-12-17,2.3627000000000002
2015-12-18,-0.6177
2015-12-21,1.6683
2015-12-22,0.5792
2015-12-23,-2.7511
2015-12-24,0.5263
2015-12-28,-1.0471
2015-12-29,0.8598
2015-12-30,0.0
2015-12-31,0.0
2016-01-04,-3.4098
2016-01-05,2.1724
2016-01-06,-0.299
2016-01-07,-0.933
2016-01-08,-0.1345
2016-01-11,-1.0778
2016-01-12,1.7365
2016-01-13,-3.7818
2016-01-14,0.9739
2016-01-15,-3.2036
2016-01-19,-2.8826
2016-01-20,-3.0048
2016-01-21,2.4556
2016-01-22,-0.5162
2016-01-25,-1.5937999999999999
2016-01-26,-0.0753
2016-01-27,-1.9224
2016-01-28,2.1522
2016-01-29,1.8811
2016-02-01,-2.5111
2016-02-02,-1.3258
2016-02-03,-0.8061
2016-02-04,-0.9675
2016-02-05,-1.1333
2016-02-08,2.332
2016-02-09,-1.5064
2016-02-10,0.0
2016-02-11,5.4118
2016-02-12,0.4464
2016-02-16,0.5556
2016-02-17,3.8674
2016-02-18,0.1064
2016-02-19,-0.7085
2016-02-22,-0.0714
2016-02-23,-0.0714
2016-02-24,-0.5002
2016-02-25,-0.8259
2016-02-26,-0.1448
2016-02-29,-0.9065
2016-03-01,1.3172
2016-03-02,-0.3973
2016-03-03,1.0152
2016-03-04,-0.323
2016-03-07,0.4321
2016-03-08,-0.9681
2016-03-09,-1.412
2016-03-10,0.4774
2016-03-11,3.3626
2016-03-14,0.8487
2016-03-15,-2.0337
2016-03-16,-0.4295
2016-03-17,0.3235
2016-03-18,0.9316
2016-03-21,0.0
2016-03-22,-0.213
2016-03-23,-1.7787
2016-03-24,0.1087
2016-03-28,0.9045
2016-03-29,0.0
2016-03-30,1.2549000000000001
2016-03-31,-0.779
2016-04-01,0.7852
2016-04-04,0.9915
2016-04-05,-0.0701
2016-04-06,0.0351
2016-04-07,0.6314
2016-04-08,0.2091
2016-04-11,4.313
2016-04-12,0.7669
2016-04-13,1.6545
2016-04-14,-1.2695
2016-04-15,0.5605
