ticker,DQWS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-06,13.6364
2017-12-18,20.0
2018-04-02,-12.5
2018-05-31,-90.4762
2018-07-05,1100.0
2018-07-06,25.0
2018-07-09,6.6667
2018-07-13,150.0
2018-07-17,-45.5
2018-08-09,0.9174
2018-08-21,4.5455
2018-09-18,8.6957
2018-10-08,-18.0
2018-10-09,21.9512
2018-11-26,-18.0
2018-11-28,24.3902
2019-03-08,-11.7647
2019-03-15,2.2222
2019-03-19,8.6957
2019-03-21,-8.0
2019-03-22,13.0435
2019-04-26,0.0
2020-01-16,7.6923
2020-01-17,7.1429
2020-03-05,16.6667
2020-03-11,-40.0
2020-03-12,-4.7619
2020-03-13,0.0
2020-03-17,91.0
2020-04-01,-47.644
