ticker,RGDXQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-06-05,0.0
2007-06-06,0.0
2007-06-07,0.4286
2007-06-08,0.0
2007-06-11,0.4267
2007-06-12,0.1416
2007-06-13,-0.5658
2007-06-14,-0.2845
2007-06-15,1.2839
2007-06-18,-0.7042
2007-06-19,-0.5674
2007-06-20,1.8545
2007-06-21,-1.9607999999999999
2007-06-22,0.4286
2007-06-25,0.1422
2007-06-26,-0.5682
2007-06-27,0.0
2007-06-28,-0.7143
2007-06-29,0.1439
2007-07-02,-0.1437
2007-07-03,0.0
2007-07-05,-6.3309
2007-07-06,-2.6114
2007-07-09,-2.2082
2007-07-10,-9.0323
2007-07-11,0.1773
2007-07-12,0.0
2007-07-13,1.7699
2007-07-16,2.9565
2007-07-17,5.5743
2007-07-18,0.0
2007-07-19,-0.48
2007-07-20,0.9646
2007-07-23,0.6369
2007-07-24,-0.7911
2007-07-25,-3.3493
2007-07-26,2.3102
2007-07-27,-1.7742
2007-07-30,-4.5977
2007-07-31,2.926
2007-08-01,0.6375
2007-08-02,-4.7876
2007-08-03,0.349
2007-08-06,-1.7391
2007-08-07,0.0
2007-08-08,-1.7699
2007-08-09,-5.2252
2007-08-10,3.0418
2007-08-13,-13.0996
2007-08-14,2.5478
2007-08-15,-4.1408
2007-08-16,-8.8553
2007-08-17,3.7915
2007-08-20,-1.8265
2007-08-21,-1.1628
2007-08-22,5.8824
2007-08-24,-4.6667
2007-08-27,-0.2331
2007-08-28,-5.1402
2007-08-29,-8.867
2007-08-30,-8.9189
2007-08-31,3.5608
2007-09-04,-6.5903
2007-09-05,5.8282
2007-09-06,-2.8986
2007-09-07,1.791
2007-09-10,-1.7595
2007-09-11,5.3731
2007-09-12,-3.3994
2007-09-13,11.4406
2007-09-14,18.6803
2007-09-17,0.6652
2007-09-18,1.3216
2007-09-19,-0.2174
2007-09-20,0.2179
2007-09-21,0.2174
2007-09-24,3.0369
2007-09-25,-5.4737
2007-09-26,-2.0045
2007-09-27,-1.1364
2007-09-28,0.0
2007-10-01,1.1494
2007-10-02,-4.3182
2007-10-03,-3.0879
2007-10-05,-1.7157
2007-10-08,5.4863
2007-10-09,0.4728
2007-10-10,-5.8824
2007-10-11,3.5
2007-10-12,1.4493
2007-10-15,-0.2381
2007-10-16,-7.3986
2007-10-17,-2.0619
2007-10-18,-5.0
2007-10-19,-3.8781
2007-10-22,4.0346
2007-10-23,-0.277
2007-10-24,-1.3889
2007-10-25,-3.662
2007-10-26,2.3392
