ticker,NOVA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-25,-6.25
2019-07-26,1.6888999999999998
2019-07-29,-2.0979
2019-07-30,1.3393
2019-07-31,-0.8811
2019-08-01,1.2444
2019-08-02,1.1414
2019-08-05,-6.1632
2019-08-06,1.6651
2019-08-07,0.455
2019-08-08,2.4457
2019-08-09,3.8904
2019-08-12,-0.1702
2019-08-13,1.6198000000000001
2019-08-14,-0.4195
2019-08-15,-6.7397
2019-08-16,-0.271
2019-08-19,1.5399
2019-08-20,-7.5825
2019-08-21,-1.9304999999999999
2019-08-22,-7.0866
2019-08-23,-8.2627
2019-08-26,0.1155
2019-08-27,5.5363
2019-08-28,11.0383
2019-08-29,1.5748
2019-08-30,2.3256
2019-09-03,1.8939
2019-09-04,0.6506
2019-09-05,1.662
2019-09-06,4.6322
2019-09-09,-7.2917
2019-09-10,-3.1835
2019-09-11,-0.2901
2019-09-12,-1.4549
2019-09-13,0.9843
2019-09-16,0.1949
2019-09-17,1.5564
2019-09-18,0.1916
2019-09-19,-0.956
2019-09-20,0.5792
2019-09-23,5.6622
2019-09-24,5.2679
2019-09-25,3.7964
2019-09-26,-3.1588
2019-09-27,-7.2961
2019-09-30,-0.463
2019-10-01,-5.1163
2019-10-02,-1.4706000000000001
2019-10-03,-1.99
2019-10-04,-2.7411
2019-10-07,2.0877
2019-10-08,-1.5337
2019-10-09,-1.9729999999999999
2019-10-10,5.9322
2019-10-11,1.6
2019-10-14,-0.689
2019-10-15,-0.4955
2019-10-16,1.8923999999999999
2019-10-17,3.9101
2019-10-18,0.6585
2019-10-21,2.243
2019-10-22,-2.8336
2019-10-23,-1.1289
2019-10-24,0.3806
2019-10-25,2.4645
2019-10-28,1.4801
2019-10-29,0.7293
2019-10-30,-0.543
2019-10-31,-3.3667
2019-11-01,4.1431000000000004
2019-11-04,0.7233
2019-11-05,-1.7953000000000001
2019-11-06,-5.2102
2019-11-07,-5.0145
2019-11-08,-1.7259
2019-11-11,5.062
2019-11-12,3.9331
2019-11-13,-6.4333
2019-11-14,7.179
2019-11-15,1.1320999999999999
2019-11-18,-0.9328
2019-11-19,-0.0942
2019-11-20,-3.4873
2019-11-21,1.4647999999999999
2019-11-22,-2.5023999999999997
2019-11-25,-0.8885
2019-11-26,-0.6972
2019-11-27,2.5075
2019-11-29,0.5871
2019-12-02,-2.5292
2019-12-03,-1.1976
2019-12-04,-2.1212
2019-12-05,-1.7544
2019-12-06,1.6806999999999999
2019-12-09,-0.2066
