ticker,SONM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-10,-0.0909
2019-05-13,0.273
2019-05-14,0.0907
2019-05-15,0.816
2019-05-16,-0.6295
2019-05-17,2.7149
2019-05-20,5.3744
2019-05-21,2.6756
2019-05-22,-1.3029
2019-05-23,-0.9901
2019-05-24,0.4167
2019-05-28,13.527
2019-05-29,5.9211
2019-05-30,3.5197000000000003
2019-05-31,-4.8
2019-06-03,2.7311
2019-06-04,2.1132
2019-06-05,12.1495
2019-06-06,1.8452
2019-06-07,-5.7276
2019-06-10,6.1996
2019-06-11,-1.2259
2019-06-12,2.0095
2019-06-13,1.5064
2019-06-14,0.2283
2019-06-17,-8.4282
2019-06-18,0.8706
2019-06-19,-0.5549
2019-06-20,-8.5555
2019-06-21,-1.0169
2019-06-24,-6.9863
2019-06-25,-3.9764
2019-06-26,-0.6135
2019-06-27,-1.466
2019-06-28,-0.3132
2019-07-01,1.2569
2019-07-02,-8.3786
2019-07-03,0.5927
2019-07-05,-2.6936
2019-07-08,-1.5571000000000002
2019-07-09,4.2179
2019-07-10,7.7572
2019-07-11,-0.626
2019-07-12,5.4331
2019-07-15,1.0456
2019-07-16,2.6608
2019-07-17,-1.0079
2019-07-18,-2.5455
2019-07-19,0.1493
2019-07-22,-2.9806
2019-07-23,2.3041
2019-07-24,4.955
2019-07-25,-4.6495
2019-07-26,-3.826
2019-07-29,-8.8924
2019-07-30,0.1712
2019-07-31,-5.3846
2019-08-01,-5.3297
2019-08-02,-5.3435
2019-08-05,-3.7298
2019-08-06,-1.5707
2019-08-07,-6.4894
2019-08-08,2.3891
2019-08-09,-12.7778
2019-08-12,-5.6051
2019-08-13,19.2982
2019-08-14,-18.6652
2019-08-15,-1.2517
2019-08-16,12.3944
2019-08-19,-4.01
2019-08-20,-1.8277
2019-08-21,15.2926
2019-08-22,-3.5755
2019-08-23,-5.5024
2019-08-26,1.5190000000000001
2019-08-27,-6.1097
2019-08-28,0.664
2019-08-29,-5.1451
2019-08-30,0.9736
2019-09-03,-1.6529
2019-09-04,7.7031
2019-09-05,0.7802
2019-09-06,-8.645199999999999
2019-09-09,-0.2825
2019-09-10,-46.7422
2019-09-11,0.7979
2019-09-12,-10.8179
2019-09-13,0.2959
2019-09-16,-0.59
2019-09-17,-1.1869
2019-09-18,-6.3063
2019-09-19,5.4487
2019-09-20,-4.5593
2019-09-23,-2.8662
2019-09-24,-3.6066000000000003
2019-09-25,-2.7211
2019-09-26,10.8392
2019-09-27,-2.5237
