ticker,SSCR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-12-11,2700.0
2018-12-26,-1.1071
2018-12-27,35.428
2019-01-04,-13.3333
2019-01-07,0.0
2019-01-09,-7.6923
2019-01-17,0.0
2019-03-06,-16.6667
2019-08-21,-10.0
2019-09-03,-11.1111
2019-12-17,-45.0
2020-05-04,-4.5455
