ticker,CABO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-12,-5.7348
2015-06-15,0.0
2015-06-17,4.7996
2015-06-18,0.2532
2015-06-19,0.303
2015-06-22,5.7402
2015-06-23,2.3810000000000002
2015-06-24,0.0
2015-06-30,-1.0465
2015-07-01,-6.228
2015-07-02,0.1779
2015-07-06,-0.9907
2015-07-07,-0.4902
2015-07-08,-3.3798
2015-07-09,0.5861
2015-07-10,0.2796
2015-07-13,1.0683
2015-07-14,0.6342
2015-07-15,1.1067
2015-07-16,0.4611
2015-07-17,0.8424
2015-07-20,-1.5706
2015-07-21,1.6338
2015-07-22,-0.7075
2015-07-23,0.8385
2015-07-24,5.5507
2015-07-27,-2.3822
2015-07-28,-0.7367
2015-07-29,1.5697999999999999
2015-07-30,-0.7956
2015-07-31,0.6033
2015-08-03,0.3324
2015-08-04,-0.4753
2015-08-05,0.574
2015-08-06,-0.3525
2015-08-07,-0.0265
2015-08-10,3.5819
2015-08-11,-0.6414
2015-08-12,-0.4514
2015-08-13,-0.1551
2015-08-14,-0.1647
2015-08-17,3.7124
2015-08-18,-0.2205
2015-08-19,-1.4008
2015-08-20,-1.8435000000000001
2015-08-21,-1.212
2015-08-24,-2.3252
2015-08-25,0.7903
2015-08-26,0.167
2015-08-27,0.5049
2015-08-28,0.5216
2015-08-31,-0.6791
2015-09-01,-1.1099
2015-09-02,-1.1687
2015-09-03,0.7341
2015-09-04,1.6434
2015-09-08,2.2544
2015-09-09,0.5718
2015-09-10,-3.4087
2015-09-11,1.1408
2015-09-14,0.6011
2015-09-15,0.0
2015-09-16,0.4594
2015-09-17,0.5569
2015-09-18,-0.1037
2015-09-21,0.6935
2015-09-22,1.5579
2015-09-23,0.2745
2015-09-24,-2.3441
2015-09-25,0.5512
2015-09-28,0.2647
2015-09-29,-0.0631
2015-09-30,-1.9382000000000001
2015-10-01,2.1315
2015-10-02,0.6163
2015-10-05,-0.464
2015-10-06,-2.8928000000000003
2015-10-07,2.7053000000000003
2015-10-08,-1.379
2015-10-09,1.7063000000000001
2015-10-12,2.1250999999999998
2015-10-13,-1.1454
2015-10-14,0.4039
2015-10-15,1.1471
2015-10-16,0.7909
2015-10-19,-0.2435
2015-10-20,-1.6795
2015-10-21,-2.2714
2015-10-22,-0.8633
2015-10-23,0.6787
2015-10-26,1.9209
2015-10-27,-1.0799
2015-10-28,2.0035
2015-10-29,-0.5111
2015-10-30,-0.152
2015-11-02,2.5770999999999997
2015-11-03,-1.1358
