ticker,PNGB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-05,-5.8824
2006-10-10,29.1667
2006-10-11,222.5806
2006-10-12,0.0
2006-10-18,-74.0
2007-01-16,573.0769
2007-01-18,-70.5714
2007-02-22,424.2718
2007-02-26,27.7778
2007-02-27,-3.4783
2007-02-28,5.4054
2007-03-01,-13.6752
2007-03-05,10.8911
2007-03-06,-6.25
2007-03-07,0.0
2007-03-08,9.5238
2007-03-09,-12.1739
2007-03-12,8.9109
2007-03-14,0.0
2007-03-15,-11.818200000000001
2007-03-19,8.2474
2007-03-20,0.0
2007-03-26,-4.7619
2007-03-27,0.0
2007-03-28,5.0
2007-04-04,-4.7619
2007-04-13,4.0
2007-04-16,-1.9231
2007-04-19,0.0
2007-04-20,-6.8627
2007-05-03,-5.2632
2007-05-18,5.5556
2007-05-21,5.2632
2007-05-22,4.0
2007-05-29,-1.9231
2007-06-12,-0.9804
2007-06-13,3.9604
2007-06-14,0.0
2007-06-18,0.0
2007-06-20,0.0
2007-06-22,-3.8095
2007-06-25,0.0
2007-06-26,3.9604
2007-06-29,-2.8571
2007-07-02,3.9215999999999998
2007-07-05,-4.717
2007-07-06,-0.9901
2007-07-10,0.0
2007-07-11,-2.0
2007-07-17,3.0612
2007-07-25,0.0
2007-07-30,-0.9901
2007-08-02,-3.0
2007-08-07,3.0928
2007-08-08,-1.0
2007-08-16,-3.0303
2007-08-20,3.125
2007-08-24,-14.1414
2007-08-28,0.0
2007-08-29,0.0
2007-08-30,0.0
2007-08-31,-5.8824
2007-09-10,12.5
2007-09-13,-15.5556
2007-09-14,5.2632
2007-09-17,12.5
2007-09-19,0.0
2007-09-20,0.0
2007-09-24,-5.5556
2007-09-25,0.0
2007-10-01,-5.8824
2007-10-04,0.0
2007-10-05,0.0
2007-10-10,11.25
2007-10-15,0.0
2007-10-16,-10.1124
2007-10-17,8.75
2007-10-18,1.1494
2007-10-25,7.9545
2007-10-29,24.2105
2007-10-30,-14.4068
2007-10-31,-0.9901
2007-11-02,5.0
2007-11-05,-3.8095
2007-11-08,3.9604
2007-11-09,0.0
2007-11-13,-2.8571
2007-11-15,7.8431
2007-11-19,-12.7273
2007-11-26,-1.0417
2007-12-03,-10.526299999999999
2007-12-07,0.0
2007-12-10,-2.3529
2007-12-11,-3.6145
2007-12-12,-12.5
2007-12-13,0.0
2007-12-19,10.0
2007-12-24,0.0
2008-01-02,16.8831
2008-01-08,-27.7778
2008-01-14,0.0
2008-01-17,0.0
