ticker,ZENG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-08-09,12.9032
2005-08-10,2.8571
2005-08-11,-2.7778
2005-08-12,-8.5714
2005-08-15,9.375
2005-08-16,0.0
2005-08-17,5.7143
2005-08-18,2.7027
2005-08-19,5.2632
2005-08-22,5.0
2005-08-23,-1.1905000000000001
2005-08-24,30.1205
2005-08-25,16.6667
2005-08-26,-1.5873
2005-08-29,2.4194
2005-08-30,5.5118
2005-08-31,-1.4925
2005-09-01,1.5152
2005-09-02,1.4925
2005-09-06,-2.9412000000000003
2005-09-07,3.0303
2005-09-08,1.4706000000000001
2005-09-09,5.7971
2005-09-12,1.3699
2005-09-13,-0.6757
2005-09-14,0.0
2005-09-15,2.0408
2005-09-16,0.0
2005-09-19,0.0
2005-09-20,-4.0
2005-09-21,-2.7778
2005-09-22,2.8571
2005-09-23,0.0
2005-09-26,-1.3889
2005-09-27,1.4085
2005-09-28,-2.7778
2005-09-29,-5.7143
2005-09-30,-4.5455
2005-10-03,1.5873
2005-10-04,-4.6875
2005-10-05,-4.918
2005-10-06,-13.7931
2005-10-07,6.0
2005-10-10,13.2075
2005-10-11,-5.0
2005-10-12,-5.2632
2005-10-13,5.5556
2005-10-14,5.2632
2005-10-17,0.0
2005-10-18,-3.3333
2005-10-19,3.4483
2005-10-20,-6.6667
2005-10-21,1.7856999999999998
2005-10-24,0.0
2005-10-25,-3.5088
2005-10-26,0.0
2005-10-27,-7.2727
2005-10-28,0.9804
2005-10-31,-8.7379
2005-11-01,6.383
2005-11-02,0.0
2005-11-03,0.0
2005-11-04,-4.0
2005-11-07,-4.1667
2005-11-08,-13.0435
2005-11-09,-12.5
2005-11-10,-8.5714
2005-11-11,6.25
2005-11-14,8.8235
2005-11-15,3.7838000000000003
2005-11-16,0.2604
2005-11-17,1.2987
2005-11-18,-10.2564
2005-11-21,-5.7143
2005-11-22,-6.0606
2005-11-23,0.0
2005-11-25,-6.4516
2005-11-28,-10.3448
2005-11-29,-11.538499999999999
2005-11-30,-10.8696
2005-12-01,12.1951
2005-12-02,4.3478
2005-12-05,37.5
2005-12-06,-12.1212
2005-12-07,3.4483
2005-12-08,15.0
2005-12-09,23.1884
2005-12-12,1.1764999999999999
2005-12-13,-12.7907
2005-12-14,-1.3333
2005-12-15,-2.7027
2005-12-16,8.3333
2005-12-19,0.0
2005-12-20,10.2564
2005-12-21,2.3256
2005-12-22,0.0
2005-12-23,-4.5455
2005-12-27,0.0
2005-12-28,0.0
