ticker,LBCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-30,-4.8387
2009-11-04,-26.2712
2009-11-05,37.931
2009-11-09,-21.6667
2009-11-13,0.0
2009-11-17,27.6596
2009-11-18,-8.3333
2009-11-20,9.0909
2009-11-24,4.1667
2009-11-25,-2.4
2009-11-27,0.0574
2009-11-30,-0.4618
2009-12-01,2.8754
2009-12-04,-4.8
2009-12-10,-11.7647
2009-12-11,16.1905
2009-12-14,-16.3934
2009-12-21,-19.6078
2009-12-28,15.8537
2009-12-29,-6.3158
2009-12-30,-19.1011
2009-12-31,1.3889
2010-01-08,-1.3699
2010-01-11,-13.8889
2010-01-25,-4.1935
2010-02-01,-15.8249
2010-02-03,58.0
2010-02-10,0.0
2010-02-12,-36.7089
2010-03-05,-10.0
2010-03-09,-11.1111
2010-03-12,-12.5
2010-03-24,14.2857
2010-03-26,0.0
2010-04-14,0.0
2010-05-20,-25.0
2010-05-27,66.6667
2010-08-18,-56.0
2010-08-24,0.0
2010-09-02,4.5455
2010-09-14,-4.3478
2010-09-16,0.0
2010-09-22,-8.1818
2010-09-30,-60.396
2010-10-08,-37.5
2010-11-02,0.0
2010-11-11,0.0
2010-11-16,-36.0
2010-11-18,25.0
2010-12-02,325.0
2010-12-03,-58.8235
2010-12-08,0.0
2010-12-09,0.0
2010-12-14,0.0
2010-12-16,-54.2857
2010-12-21,0.0
2010-12-22,-12.5
2010-12-27,0.0
2010-12-28,0.0
2010-12-29,7.1429
2010-12-30,0.0
2011-01-10,23.3333
2011-01-13,8.1081
2011-01-24,150.0
2011-01-27,0.0
2011-02-04,-50.0
2011-02-08,0.0
2011-02-10,0.0
2011-02-23,120.0
2011-04-01,-54.5455
2011-04-15,20.0
2011-05-03,16.6667
2011-05-04,-48.5714
2011-05-06,-33.3333
2011-05-10,358.3333
2011-05-23,-78.1818
2011-06-02,-50.0
2011-09-16,216.6667
2011-10-04,-57.8947
2011-10-05,0.0
2011-10-06,0.0
2011-10-20,-50.0
2011-11-29,0.0
2011-12-01,0.0
2011-12-07,0.0
2011-12-20,25.0
2011-12-27,20.0
2011-12-29,16.6667
2012-01-09,14.2857
2012-01-12,0.0
2012-01-17,37.5
2012-01-23,-36.3636
2012-02-07,1.4285999999999999
2012-02-24,54.9296
2012-03-08,36.3636
2012-03-21,6.6667
2012-04-12,25.0
2012-04-13,0.0
2012-05-29,10.0
2012-05-31,13.6364
2012-08-10,-8.0
2012-08-14,-13.0435
2012-08-15,-15.0
