ticker,LL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-09,-11.2727
2007-11-12,-5.2254
2007-11-13,3.7838000000000003
2007-11-14,-6.25
2007-11-15,0.1111
2007-11-16,-0.6659
2007-11-19,0.0
2007-11-20,1.0056
2007-11-21,0.3319
2007-11-23,-0.9923
2007-11-26,-4.2316
2007-11-27,-8.9535
2007-11-28,8.6845
2007-11-29,1.0576
2007-11-30,4.3023
2007-12-03,7.1349
2007-12-04,-2.1852
2007-12-05,0.7447
2007-12-06,-3.9071
2007-12-07,2.1978
2007-12-10,1.8279999999999998
2007-12-11,0.3168
2007-12-12,-1.6842000000000001
2007-12-13,-2.2484
2007-12-14,-0.6572
2007-12-17,-5.7332
2007-12-18,-3.3918
2007-12-19,8.8378
2007-12-20,-2.1135
2007-12-21,-2.1591
2007-12-24,4.4135
2007-12-26,-1.0011
2007-12-27,1.236
2007-12-28,0.222
2007-12-31,-0.443
2008-01-02,1.2236
2008-01-03,0.3297
2008-01-04,-1.0953
2008-01-07,-3.5437
2008-01-08,-3.6739
2008-01-09,-3.3373
2008-01-10,0.3699
2008-01-11,-8.4767
2008-01-14,-0.4027
2008-01-15,-2.2911
2008-01-16,-6.8966
2008-01-17,-6.963
2008-01-18,-3.3439
2008-01-22,7.084
2008-01-23,0.0
2008-01-24,0.0
2008-01-25,1.6923
2008-01-28,15.7337
2008-01-29,6.5359
2008-01-30,1.3497
2008-01-31,7.7482
2008-02-01,6.5169
2008-02-04,-0.8439
2008-02-05,-2.6596
2008-02-06,2.1858
2008-02-07,-1.1764999999999999
2008-02-08,0.7576
2008-02-11,-0.2162
2008-02-12,1.4007
2008-02-13,-1.1677
2008-02-14,0.8593
2008-02-15,2.0234
2008-02-19,-2.6096
2008-02-20,2.7866999999999997
2008-02-21,-0.4171
2008-02-22,-1.6754
2008-02-25,8.0937
2008-02-26,-1.5764
2008-02-27,-4.6046
2008-02-28,-5.5614
2008-02-29,1.6667
2008-03-03,-3.7157999999999998
2008-03-04,-4.1998
2008-03-05,0.5924
2008-03-06,-2.4735
2008-03-07,-2.2947
2008-03-10,-4.0791
2008-03-11,-1.6768999999999998
2008-03-12,13.8944
2008-03-13,4.1427
2008-03-14,2.9834
2008-03-17,0.4292
2008-03-18,4.1667
2008-03-19,-1.0256
2008-03-20,4.456
2008-03-24,3.9683
2008-03-25,4.771
2008-03-26,0.4554
2008-03-27,-1.6319
2008-03-28,-1.4747
2008-03-31,-0.8419
2008-04-01,0.6604
