ticker,ADCV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-01,-99.1459
2004-09-13,233.3333
2004-09-14,10.0
2004-09-17,80.0
2004-09-20,59.0909
2004-09-21,1.5873
2004-09-22,40.625
2004-09-23,2.2222
2004-09-24,-18.4783
2004-09-27,38.6667
2004-09-28,15.3846
2004-09-29,-21.6667
2004-09-30,13.4043
2004-10-01,-0.5629
2004-10-04,2.8302
2004-10-06,-2.7523
2004-10-07,-22.6415
2004-10-08,26.8293
2004-10-14,0.1923
2004-10-18,-23.2246
2004-10-21,-18.75
2004-10-22,-23.0769
2004-10-26,20.0
2004-11-09,23.3333
2004-11-10,6.7568
2004-11-11,1.2658
2004-11-18,-1.25
2004-11-26,-11.3924
2004-11-29,11.4286
2004-12-07,8.9744
2004-12-08,-7.0588
2004-12-09,20.2532
2004-12-10,-30.5263
2004-12-15,-68.4848
2004-12-22,275.0
2005-01-05,0.0
2005-01-10,1.2821
2005-01-24,-24.0506
2005-01-25,0.0
2005-01-27,-1.0
2005-01-31,1.0101
2005-02-14,8.3333
2005-02-18,0.0
2005-04-28,-23.6923
2005-04-29,10.8871
2005-05-17,-1.8182
2005-06-03,-19.2593
2005-06-27,0.9174
2005-07-07,-8.6364
2005-07-08,-0.4975
2005-07-18,0.5
2005-07-19,0.0
2005-08-11,-0.4975
2005-08-19,-5.0
2005-09-12,5.2632
2005-09-13,0.425
2005-09-14,23.4752
2005-09-15,-29.4355
2005-09-16,57.1429
2005-09-21,-35.6364
2005-09-23,-60.452
2005-09-26,0.0
2005-09-27,0.0
2005-09-28,0.0
2005-10-03,14.2857
2005-10-04,0.0
2005-10-05,0.0
2005-10-06,6.25
2005-10-07,5.8824
2005-10-10,-5.5556
2005-10-11,17.647100000000002
2005-10-12,5.0
2005-10-13,-4.7619
2005-10-14,5.0
2005-10-17,-3.8095
2005-10-18,8.9109
2005-10-19,-0.9091
2005-10-20,-12.844
2005-10-21,15.7895
2005-10-24,-14.5455
2005-10-25,1.0638
2005-10-27,9.473700000000001
2005-10-28,-13.461500000000001
2005-10-31,21.6667
2005-11-01,4.5662
2005-11-02,-5.6769
2005-11-03,0.0
2005-11-04,11.1111
2005-11-07,-83.3333
2005-11-08,400.0
2005-11-09,-10.0
2005-11-10,-11.1111
2005-11-11,-68.75
2005-11-14,260.0
2005-11-15,0.0
2005-11-16,-5.5556
2005-11-17,0.0
2005-11-18,0.0
2005-11-21,0.0
2005-11-22,-5.8824
2005-11-23,0.0
2005-11-25,2.5
