ticker,PLRX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-03,33.125
2020-06-04,9.6714
2020-06-05,-4.7517
2020-06-08,4.2697
2020-06-09,-5.1724
2020-06-10,5.8182
2020-06-11,-2.3625
2020-06-12,0.5279
2020-06-15,12.4289
2020-06-16,-2.5302
2020-06-17,3.7939
2020-06-18,2.501
2020-06-19,5.1426
2020-06-22,-0.0357
2020-06-23,5.4286
2020-06-24,3.0488
2020-06-25,2.1696
2020-06-26,2.0592
2020-06-29,11.1602
2020-06-30,-7.941
2020-07-01,-9.7351
2020-07-02,0.785
2020-07-06,-2.4721
2020-07-07,-6.25
2020-07-08,-1.5185
2020-07-09,-3.1215
2020-07-10,-2.2904
2020-07-13,-9.8133
2020-07-14,-0.4405
2020-07-15,-1.1504
2020-07-16,9.5345
2020-07-17,0.6947
2020-07-20,10.4302
2020-07-21,0.294
2020-07-22,-6.6325
2020-07-23,1.0989
2020-07-24,-6.677
2020-07-27,1.9135
2020-07-28,-0.4898
2020-07-29,-0.3281
2020-07-30,-1.07
2020-07-31,-3.1198
