ticker,PRDO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-7.1661
2000-01-04,-1.7544
2000-01-05,-0.7143
2000-01-06,-0.3597
2000-01-07,1.083
2000-01-10,-1.0714
2000-01-11,-1.444
2000-01-12,-0.7326
2000-01-13,0.738
2000-01-14,-0.3663
2000-01-18,-0.3676
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,0.738
2000-01-24,-1.0989
2000-01-25,1.8519
2000-01-26,-1.8182
2000-01-27,-1.4815
2000-01-28,0.0
2000-01-31,2.6316
2000-02-01,1.4652
2000-02-02,7.9422
2000-02-03,5.3512
2000-02-04,-0.3175
2000-02-07,-2.5478
2000-02-08,-0.9804
2000-02-09,-3.9604
2000-02-10,1.2027
2000-02-11,-1.8676
2000-02-14,0.346
2000-02-15,4.4828
2000-02-16,-2.3102
2000-02-17,-0.6757
2000-02-18,2.0408
2000-02-22,0.0
2000-02-23,0.0
2000-02-24,-4.6667
2000-02-25,4.1958
2000-02-28,-0.6711
2000-02-29,1.3514
2000-03-01,0.0
2000-03-02,5.3333
2000-03-03,-1.2658
2000-03-06,-2.7244
2000-03-07,0.3295
2000-03-08,-2.2989
2000-03-09,0.8403
2000-03-10,-4.0
2000-03-13,-2.0833
2000-03-14,2.1277
2000-03-15,-1.3021
2000-03-16,-12.4011
2000-03-17,10.4418
2000-03-20,0.9545
2000-03-21,-0.1801
2000-03-22,1.3982999999999999
2000-03-23,0.0
2000-03-24,-0.3559
2000-03-27,1.4285999999999999
2000-03-28,-1.0563
2000-03-29,0.8897
2000-03-30,-1.4109
2000-03-31,0.1789
2000-04-03,1.0714
2000-04-04,-1.5901
2000-04-05,-0.5386
2000-04-06,3.2491
2000-04-07,1.9231
2000-04-10,-0.5146
2000-04-11,1.8965999999999998
2000-04-12,-6.599
2000-04-13,5.4348
2000-04-14,-5.4983
2000-04-17,4.7273
2000-04-18,-4.5139
2000-04-19,-8.7273
2000-04-20,-10.757
2000-04-24,2.2321
2000-04-25,15.2838
2000-04-26,4.5455
2000-04-27,10.1449
2000-04-28,-0.4934
2000-05-01,-0.8264
2000-05-02,-3.6667
2000-05-03,-5.1903
2000-05-04,-6.3869
2000-05-05,17.154
2000-05-08,-1.4975
2000-05-09,3.0405
2000-05-10,-0.4918
2000-05-11,4.7776
2000-05-12,-0.1572
2000-05-15,-1.1024
2000-05-16,-0.2787
2000-05-17,-0.998
2000-05-18,1.2903
2000-05-19,1.9108
2000-05-22,-0.625
2000-05-23,-1.2579
