ticker,KEX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.1341
2000-01-04,-4.0498
2000-01-05,-1.2987
2000-01-06,-3.6184
2000-01-07,-1.7065000000000001
2000-01-10,0.0
2000-01-11,4.1667
2000-01-12,3.0
2000-01-13,1.9417
2000-01-14,-3.1746
2000-01-18,0.6557
2000-01-19,0.3257
2000-01-20,-0.3247
2000-01-21,-1.3029
2000-01-24,3.9604
2000-01-25,-2.2222
2000-01-26,0.3247
2000-01-27,-2.589
2000-01-28,0.3322
2000-01-31,-1.3245
2000-02-01,-3.6913
2000-02-02,1.0453
2000-02-03,2.7586
2000-02-04,0.6711
2000-02-07,-1.0
2000-02-08,-1.0101
2000-02-09,-1.7006999999999999
2000-02-10,0.0
2000-02-11,-0.692
2000-02-14,-0.3484
2000-02-15,0.3497
2000-02-16,-0.6969
2000-02-17,0.7018
2000-02-18,-0.6969
2000-02-22,-0.3509
2000-02-23,2.8169
2000-02-24,2.3973
2000-02-25,-4.0134
2000-02-28,3.4843
2000-02-29,4.3771
2000-03-01,0.3226
2000-03-02,-0.6431
2000-03-03,-1.6181
2000-03-06,-0.3289
2000-03-07,-2.9703
2000-03-08,-0.3401
2000-03-09,2.3891
2000-03-10,0.0
2000-03-13,0.6667
2000-03-14,0.0
2000-03-15,-0.3311
2000-03-16,7.6411999999999995
2000-03-17,-1.2346
2000-03-20,-2.1875
2000-03-21,-2.2364
2000-03-22,2.6144
2000-03-23,-1.2739
2000-03-24,-1.6129
2000-03-27,-0.3279
2000-03-28,-0.9868
2000-03-29,4.6512
2000-03-30,1.5873
2000-03-31,-1.25
2000-04-03,1.2658
2000-04-04,0.0
2000-04-05,3.75
2000-04-06,-0.9036
2000-04-07,0.9119
2000-04-10,-2.7108
2000-04-11,-0.6192
2000-04-12,1.5575999999999999
2000-04-13,2.454
2000-04-14,-2.3952
2000-04-17,0.6135
2000-04-18,3.0488
2000-04-19,1.4793
2000-04-20,-2.9154999999999998
2000-04-24,-0.3003
2000-04-25,0.6024
2000-04-26,-2.3952
2000-04-27,0.0
2000-04-28,1.5337
2000-05-01,1.5106000000000002
2000-05-02,-0.5952
2000-05-03,0.5988
2000-05-04,1.7856999999999998
2000-05-05,2.3392
2000-05-08,0.8571
2000-05-09,0.5666
2000-05-10,0.5634
2000-05-11,0.0
2000-05-12,3.9215999999999998
2000-05-15,5.6604
2000-05-16,0.5102
2000-05-17,-2.5381
2000-05-18,-3.125
2000-05-19,-0.2688
2000-05-22,-0.8086
