ticker,ADKT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-08-12,133.3333
2004-11-30,44.7777
2005-07-26,5.1051
2005-07-28,3.2143
2006-07-25,4.5752
2006-09-05,7.6389
2007-11-20,18.0837
2007-11-21,0.0
2008-04-21,-15.2098
2008-04-22,4.811
2008-06-12,14.7541
2008-06-19,14.2857
2008-08-26,-23.703
2008-09-11,23.3333
2008-09-12,0.0
2008-09-15,-0.2703
2008-09-25,-5.1491
2008-10-08,0.0
2008-10-24,-5.7143
2008-11-06,-3.0303
2008-11-10,-6.25
2008-11-20,0.0
2008-11-26,5.3333
2008-12-09,0.3165
2009-01-13,6.9604
2009-01-20,-34.3284
2009-01-28,18.1818
2009-01-29,11.538499999999999
2009-02-02,-3.1034
2009-02-09,-0.3559
2009-03-05,0.0
2009-03-17,0.0
2009-03-18,0.0
2009-03-19,0.0
2009-05-15,3.5714
2009-06-17,3.4483
2009-07-02,-5.4693
2009-09-24,1.9285999999999999
2009-10-01,-1.5417
2009-10-02,-1.4235
2009-12-23,1.083
2010-01-11,8.702
2010-01-15,-11.6077
2010-01-19,3.7736
2010-02-04,0.0
2010-02-05,-1.8182
2010-07-08,-5.8690999999999995
2010-07-09,0.3197
2010-10-05,0.7968
2010-10-13,2.7668
2010-11-26,-1.5385
2010-12-09,13.2813
2010-12-15,-12.8276
2011-01-12,1.9339
2011-01-27,0.3953
2011-05-09,4.3307
2011-05-11,0.3774
2011-05-31,0.3759
2011-06-27,0.1498
2011-07-15,0.1522
2011-09-12,0.4559
2011-12-06,0.7564
2012-01-05,0.3823
2012-01-13,2.818
2012-03-06,1.1111
2012-03-08,0.0733
2012-05-09,0.0
2012-05-29,0.2928
2012-05-30,1.0949
2012-05-31,3.6101
2012-10-17,2.0553
2012-12-03,0.0
2013-01-16,2.8269
2013-01-22,0.0
2013-01-25,3.0928
2013-01-29,0.0
2013-02-04,0.0
2013-02-06,-1.6667
2013-02-07,-1.6949
2013-02-11,1.7241
2013-02-12,0.0
2013-05-14,0.0
2013-06-07,5.0847
2013-07-25,-3.082
2013-08-02,0.203
2013-08-08,0.2701
2013-08-12,-2.3569
2013-08-14,0.0
2013-08-16,3.4483
2013-10-24,3.3333
2013-10-31,0.6452
2013-11-14,0.0
2013-11-20,0.3205
2013-11-21,0.0
2013-12-20,2.2364
2014-01-22,0.2858
2014-01-23,0.0633
2014-02-12,-0.0006
2014-02-28,0.0
2014-03-12,0.3171
2014-05-22,4.1009
2014-07-14,3.1086
