ticker,PFOH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,1.4085
2000-01-11,-2.0833
2000-01-12,0.0
2000-01-19,-4.9645
2000-01-20,2.9851
2000-01-21,-3.9855
2000-01-24,-11.6981
2000-01-25,2.5641
2000-01-26,1.6667
2000-01-27,-4.0984
2000-01-28,0.0
2000-01-31,16.2393
2000-02-02,-11.7647
2000-02-03,-2.5
2000-02-04,15.3846
2000-02-07,-8.1481
2000-02-08,-4.8387
2000-02-09,11.8644
2000-02-10,-9.0909
2000-02-11,3.3333
2000-02-28,-3.2258
2000-03-01,-2.5
2000-03-07,5.9829
2000-03-09,-3.6561
2000-03-15,12.8205
2000-03-16,-9.0909
2000-03-17,10.0
2000-03-21,-11.3636
2000-03-22,0.0
2000-03-23,9.4017
2000-03-28,-6.25
2000-03-30,10.0
2000-03-31,-11.3636
2000-04-03,0.0
2000-04-06,12.8205
2000-04-10,0.0
2000-04-11,0.0
2000-04-17,-7.5758
2000-04-18,8.1967
2000-04-19,-6.8182
2000-04-20,7.3171
2000-05-10,-4.5455
2000-05-12,0.0
2000-05-15,1.5873
2000-05-18,3.125
2000-05-22,0.0
2000-05-24,0.0
2000-06-05,-5.303
2000-06-08,4.96
2000-06-09,1.5385
2000-06-12,-6.8182
2000-06-15,2.439
2000-06-21,-2.3810000000000002
2000-06-22,0.0
2000-06-23,-1.626
2000-06-27,-0.4132
2000-07-07,-2.9046
2000-07-11,5.9829
2000-07-12,-0.8065
2000-07-21,0.813
2000-07-27,0.0
2000-07-28,-7.2581
2000-08-07,4.3478
2000-08-08,-3.3333
2000-08-11,0.0
2000-08-14,0.0
2000-08-16,6.8966
2000-08-18,-5.6452
2000-08-24,4.2735
2000-09-06,-4.0984
2000-09-07,0.4274
2000-09-08,-0.4255
2000-09-11,0.0
2000-09-13,0.0
2000-09-14,4.8205
2000-09-18,-1.6667
2000-09-26,0.0
2000-10-05,0.8475
2000-10-11,2.521
2000-10-12,-0.8197
2000-10-18,0.8264
2000-10-19,-1.6393
2000-10-20,-0.4167
2000-10-23,0.0
2000-10-24,-0.4184
2000-10-27,0.0
2000-10-30,0.0
2000-11-03,-5.8824
2000-11-06,0.0
2000-11-07,0.0
2000-11-10,5.3571
2000-11-14,1.6949
2000-11-15,-3.3333
2000-11-16,3.4483
2000-11-17,-5.0
2000-11-21,-0.8772
2000-11-24,1.7699
2000-11-27,-2.6087
2000-11-29,0.0
2000-11-30,0.0
2000-12-04,1.7856999999999998
2000-12-07,1.7544
