ticker,WTII US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-26,-10.0
2006-11-02,288.8889
2006-11-03,0.0
2006-11-07,100.0
2006-11-08,6.6667
2006-11-27,9.375
2006-11-29,0.0
2006-11-30,-14.2857
2006-12-01,13.3333
2006-12-04,-11.7647
2006-12-05,-3.3333
2006-12-06,-17.2414
2006-12-07,0.0
2006-12-08,-4.1667
2006-12-11,-13.0435
2006-12-12,-5.0
2006-12-13,-21.0526
2006-12-14,6.6667
2006-12-15,-3.125
2006-12-18,9.6774
2006-12-19,-11.7647
2006-12-20,-13.3333
2006-12-21,7.6923
2006-12-22,-7.1429
2006-12-26,0.0
2006-12-27,15.3846
2006-12-28,-46.6667
2006-12-29,0.0
2007-01-03,12.5
2007-01-04,-5.5556
2007-01-05,5.8824
2007-01-08,-5.5556
2007-01-09,-5.8824
2007-01-10,0.0
2007-01-11,-12.5
2007-01-12,0.0
2007-01-16,-14.2857
2007-01-17,0.0
2007-01-18,43.3333
2007-01-19,4.6512
2007-01-22,-5.5556
2007-01-23,-11.7647
2007-01-24,-20.0
2007-01-25,0.0
2007-01-26,0.0
2007-01-29,8.3333
2007-01-30,30.7692
2007-01-31,17.647100000000002
2007-02-01,10.0
2007-02-02,9.0909
2007-02-05,-16.6667
2007-02-06,25.0
2007-02-07,-20.0
2007-02-08,90.0
2007-02-09,5.2632
2007-02-12,-20.0
2007-02-13,-15.625
2007-02-14,-19.2593
2007-02-15,28.4404
2007-02-16,0.0
2007-02-20,-17.8571
2007-02-21,-8.6957
2007-02-22,-4.7619
2007-02-23,0.0
2007-02-26,0.0
2007-02-27,0.0
2007-02-28,-8.0
2007-03-01,-13.0435
2007-03-02,0.0
2007-03-05,-0.1562
2007-03-06,-18.6228
2007-03-07,7.5
2007-03-08,-14.1324
2007-03-09,8.3333
2007-03-12,-7.6923
2007-03-13,-20.8333
2007-03-14,-5.2632
2007-03-15,22.2222
2007-03-16,18.1818
2007-03-19,-4.6154
2007-03-20,-16.129
2007-03-21,-1.9231
2007-03-22,-1.9607999999999999
2007-03-23,2.0
2007-03-27,-1.9607999999999999
2007-03-28,-2.0
2007-03-29,-6.1224
2007-03-30,2.1739
2007-04-02,6.383
2007-04-03,0.0
2007-04-04,-16.0
2007-04-05,4.7619
2007-04-09,13.6364
2007-04-10,-4.0
2007-04-11,-20.8333
2007-04-12,-34.2105
2007-04-13,-8.0
2007-04-16,15.2174
2007-04-17,-24.5283
2007-04-18,0.0
2007-04-19,10.0
