ticker,KLYG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-04,-7.2727
2008-04-07,5.8824
2008-04-09,42.5926
2008-04-10,3.8961
2008-04-11,6.25
2008-04-14,0.0
2008-04-16,4.7059
2008-04-17,5.618
2008-04-18,1.0638
2008-04-21,-5.2632
2008-04-23,4.4444
2008-04-28,2.1277
2008-04-29,9.375
2008-04-30,-3.8095
2008-05-01,8.9109
2008-05-05,-1.8182
2008-05-07,-6.4815
2008-05-08,11.8812
2008-05-09,-3.5398
2008-05-12,-0.9174
2008-05-13,43.5185
2008-05-14,-3.2258
2008-05-16,26.6667
2008-05-19,5.2632
2008-05-20,10.0
2008-05-21,4.5455
2008-05-22,8.6957
2008-05-27,-6.0
2008-05-28,6.383
2008-05-29,0.0
2008-06-02,-0.005
2008-06-03,-2.3951000000000002
2008-06-04,-18.0328
2008-06-06,6.0
2008-06-13,-17.4528
2008-06-16,-42.8571
2008-06-17,24.0
2008-06-18,49.1935
2008-06-20,-32.4324
2008-06-24,40.0
2008-06-25,-42.8571
2008-06-26,-25.0
2008-06-27,0.0
2008-06-30,40.0
2008-07-01,-22.8571
2008-07-02,11.1111
2008-07-08,-43.3333
2008-07-09,-25.4902
2008-07-10,7.8947
2008-07-11,-17.0732
2008-07-14,-32.3529
2008-07-15,13.0435
2008-07-16,-3.8462
2008-07-17,36.0
2008-07-18,41.1765
2008-07-21,6.25
2008-07-22,17.647100000000002
2008-07-24,-41.6667
2008-07-25,0.0
2008-07-28,-14.2857
2008-07-29,6.6667
2008-07-30,6.25
2008-07-31,2.9044
2008-08-01,0.0357
2008-08-04,-20.0
2008-08-05,-10.7143
2008-08-06,-12.0
2008-08-07,18.1818
2008-08-08,61.5385
2008-08-11,-52.381
2008-08-12,0.0
2008-08-13,0.0
2008-08-14,15.0
2008-08-15,-34.7826
2008-08-18,0.0
2008-08-20,33.3333
2008-08-21,0.0
2008-08-25,15.0
2008-08-26,-4.3478
2008-08-28,0.0
2008-08-29,13.6364
2008-09-03,0.0
2008-09-09,0.0
2008-09-23,-32.0
2008-10-01,0.0
2008-10-06,-5.8824
2008-10-23,-50.0
2008-11-04,87.5
2008-11-10,20.0
2008-11-14,-16.6667
2008-11-25,26.6667
2008-12-01,110.5263
2008-12-02,35.0
2008-12-03,5.5556
2008-12-04,-3.5088
2008-12-05,-10.9091
2008-12-08,-28.5714
2008-12-09,28.5714
2008-12-10,-33.3333
2008-12-11,0.0
2008-12-12,-16.6667
2008-12-15,40.0
