ticker,CEI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-06-21,16.6667
2006-06-22,7.1429
2006-06-23,0.0
2006-06-26,2.2222
2006-06-27,-2.1739
2006-06-28,-22.2222
2006-06-29,22.8571
2006-06-30,-4.186
2006-07-03,1.9417
2006-07-05,30.9524
2006-07-06,1.8182
2006-07-07,-1.7856999999999998
2006-07-10,-0.3636
2006-07-11,-6.9343
2006-07-12,9.8039
2006-07-13,-1.7856999999999998
2006-07-14,-1.8182
2006-07-17,3.7037
2006-07-18,0.7143
2006-07-19,-0.7092
2006-07-20,-3.5714
2006-07-21,3.5185
2006-07-24,-4.4723
2006-07-25,-0.7491
2006-07-26,-1.8868
2006-07-27,0.0
2006-07-28,-1.9231
2006-07-31,-1.9607999999999999
2006-08-03,0.0
2006-08-04,0.0
2006-08-08,0.0
2006-08-09,-10.0
2006-08-10,8.8889
2006-08-14,-2.0408
2006-08-15,0.0
2006-08-16,6.25
2006-08-17,-1.9607999999999999
2006-08-18,0.0
2006-08-21,-2.0
2006-08-23,-2.0408
2006-08-24,-2.0833
2006-08-25,0.0
2006-08-28,0.0
2006-08-29,-2.1277
2006-08-30,13.0435
2006-08-31,-3.8462
2006-09-01,-4.0
2006-09-05,-4.1667
2006-09-06,6.087
2006-09-07,-0.8197
2006-09-08,0.0
2006-09-11,-1.6529
2006-09-12,2.9412000000000003
2006-09-13,10.2041
2006-09-14,-3.7037
2006-09-15,1.9231
2006-09-19,3.7736
2006-09-20,0.0
2006-09-21,-12.7273
2006-09-22,10.4167
2006-09-25,2.6414999999999997
2006-09-26,-4.4118
2006-09-27,0.0
2006-09-28,0.0
2006-09-29,1.9231
2006-10-02,1.8868
2006-10-03,-3.7037
2006-10-04,-7.6923
2006-10-05,6.25
2006-10-06,-5.8824
2006-10-09,4.1667
2006-10-10,-8.0
2006-10-11,4.3478
2006-10-12,-4.1667
2006-10-13,2.1739
2006-10-16,2.1277
2006-10-18,4.1667
2006-10-19,6.0
2006-10-20,-1.8868
2006-10-23,0.0
2006-10-24,0.0
2006-10-26,-13.461500000000001
2006-10-27,-3.5556
2006-10-30,0.0
2006-10-31,10.5991
2006-11-01,0.0
2006-11-02,2.5
2006-11-03,-4.4715
2006-11-06,14.8936
2006-11-07,1.8519
2006-11-08,1.8182
2006-11-09,1.7856999999999998
2006-11-10,19.2982
2006-11-13,-8.5294
2006-11-14,-13.1833
2006-11-15,12.963
2006-11-17,-9.8361
2006-11-20,0.0
2006-11-22,-3.6364
