ticker,RMSL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-01-15,0.0
2009-01-21,0.0
2009-03-20,20.0
2009-06-17,-30.0
2009-10-02,-52.381
2009-10-08,100.0
2009-11-09,0.0
2009-11-11,-5.0
2009-12-18,5.2632
2009-12-21,0.0
2009-12-29,50.0
2010-01-06,-20.0
2010-01-07,-16.6667
2010-01-29,-5.0
2010-02-01,5.2632
2010-02-26,0.0
2010-03-05,95.0
2010-03-09,-35.8974
2010-03-12,0.0
2010-04-21,-60.0
2010-05-05,450.0
2010-05-06,-25.4545
2010-05-12,73.1707
2010-05-14,-57.7465
2010-05-18,136.6667
2010-05-27,-1.4085
2010-06-08,-4.2857
2010-06-14,-70.1493
2010-06-15,25.0
2010-06-18,120.0
2010-06-25,0.0
2010-07-01,-7.2727
2010-07-02,-27.451
2010-07-06,83.7838
2010-07-07,-17.647100000000002
2010-07-09,33.9286
2010-07-12,-32.0
2010-07-13,23.5294
2010-07-16,0.0
2010-07-20,-20.634900000000002
2010-07-21,0.0
2010-07-22,0.0
2010-07-26,2.0
2010-07-27,-1.9607999999999999
2010-07-28,0.0
2010-07-29,2.0
2010-07-30,0.0
2010-08-02,-70.5882
2010-08-03,333.3333
2010-08-04,15.3846
2010-08-09,-12.0
2010-08-10,28.7879
2010-08-16,0.0
2010-08-17,-1.1764999999999999
2010-08-25,-4.7619
2010-08-26,-6.25
2010-08-30,-33.3333
2010-08-31,0.0
2010-09-01,-10.0
2010-09-02,-11.1111
2010-09-03,0.0
2010-09-13,0.0
2010-09-16,0.0
2010-09-17,-25.0
2010-09-22,116.6667
2010-09-23,-6.1538
2010-09-28,21.3115
2010-10-04,1.3514
2010-10-05,-10.6667
2010-10-06,-7.4627
2010-10-07,-11.2903
2010-10-18,-36.3636
2010-10-19,28.5714
2010-10-20,13.3333
2010-10-21,2.9412000000000003
2010-10-28,0.0
2010-10-29,0.0
2010-11-03,-37.1429
2010-11-08,-3.0303
2010-11-09,0.0
2010-11-10,21.875
2010-11-15,2.5641
2010-11-16,-37.25
2010-11-17,99.2032
2010-11-18,-2.0
2010-11-19,-2.0408
2010-12-20,-50.0
2010-12-21,100.0
2010-12-23,-66.6667
2010-12-27,187.5
2010-12-28,4.3478
2011-01-03,-67.7083
2011-01-04,3.2258
2011-01-06,68.75
2011-01-07,7.4074
2011-01-10,-10.3448
2011-01-12,-7.6923
2011-01-21,-37.5
2011-01-24,46.6667
2011-01-27,-45.4545
2011-01-28,75.0
2011-02-01,-4.7619
