ticker,BFCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-29,18.1818
2007-11-30,0.0
2007-12-05,-15.3846
2007-12-07,27.2727
2007-12-10,-14.2857
2007-12-11,-8.3333
2007-12-12,36.3636
2007-12-13,-20.0
2007-12-14,0.0
2007-12-17,0.0
2007-12-19,25.0
2007-12-21,0.0
2007-12-24,-6.6667
2007-12-26,0.0
2007-12-27,-14.2857
2007-12-31,8.3333
2008-01-04,7.6923
2008-01-07,-2.8571
2008-01-08,8.8235
2008-01-09,-1.3514
2008-01-10,10.9589
2008-01-11,-3.7037
2008-01-14,-10.2564
2008-01-15,-4.2857
2008-01-16,-13.4328
2008-01-17,13.7931
2008-01-18,6.0606
2008-01-22,-15.7143
2008-01-23,-15.2542
2008-01-24,10.0
2008-01-25,3.6364
2008-01-28,1.7544
2008-01-29,3.4483
2008-01-30,0.0
2008-01-31,-18.3333
2008-02-01,6.1224
2008-02-04,0.0
2008-02-05,0.0
2008-02-06,5.7692
2008-02-07,5.4545
2008-02-08,-3.4483
2008-02-11,-1.7856999999999998
2008-02-12,-12.7273
2008-02-13,35.4167
2008-02-14,20.0
2008-02-15,-2.5641
2008-02-19,-10.526299999999999
2008-02-20,0.0
2008-02-21,0.0
2008-02-22,-1.4706000000000001
2008-02-25,4.4776
2008-02-26,-4.2857
2008-02-27,-2.9851
2008-02-28,-2.3077
2008-02-29,-8.6614
2008-03-03,4.3103
2008-03-04,14.0496
2008-03-05,-8.6957
2008-03-06,3.1746
2008-03-07,-12.3077
2008-03-10,-3.5088
2008-03-11,9.0909
2008-03-12,0.0
2008-03-13,-15.0
2008-03-14,-9.8039
2008-03-17,10.8696
2008-03-18,3.9215999999999998
2008-03-19,-15.0943
2008-03-20,0.0
2008-03-24,-2.2222
2008-03-25,-27.2727
2008-03-26,56.25
2008-03-27,4.0
2008-03-31,-7.6923
2008-04-01,-4.1667
2008-04-02,-2.1739
2008-04-03,4.4444
2008-04-04,-25.5319
2008-04-07,20.0
2008-04-08,0.0
2008-04-09,0.0
2008-04-10,-2.3810000000000002
2008-04-11,2.439
2008-04-14,-4.7619
2008-04-16,0.0
2008-04-17,-7.5
2008-04-18,21.6216
2008-04-21,8.8889
2008-04-22,-4.0816
2008-04-23,-8.5106
2008-04-24,4.6512
2008-04-25,0.0
2008-04-28,-2.2222
2008-04-29,-6.8182
2008-04-30,-4.878
2008-05-01,-10.2564
2008-05-02,2.8571
2008-05-05,8.3333
2008-05-06,0.0
2008-05-07,-2.5641
