ticker,WLAB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-26,-33.3333
2009-06-29,-16.6667
2009-07-09,0.0
2009-07-13,0.0
2009-07-15,0.0
2009-07-16,0.0
2009-07-21,0.0
2009-07-22,0.0
2009-07-23,0.0
2009-07-27,0.0
2009-07-29,0.0
2009-07-30,0.0
2009-07-31,0.0
2009-08-03,20.0
2009-08-05,-58.3333
2009-08-11,0.0
2009-08-12,0.0
2009-08-13,0.0
2009-08-14,-20.0
2009-08-17,-25.0
2009-08-18,-16.6667
2009-08-21,-20.0
2009-08-24,0.0
2009-08-25,100.0
2009-08-26,125.0
2009-08-27,-33.3333
2009-08-28,-16.6667
2009-08-31,0.0
2009-09-01,0.0
2009-09-02,0.0
2009-09-03,0.0
2009-09-04,-20.0
2009-09-08,-20.0
2009-09-09,0.0
2009-09-10,-6.25
2009-09-11,-3.3333
2009-09-14,-13.7931
2009-09-16,0.0
2009-09-17,0.0
2009-09-18,0.0
2009-09-22,240.0
2009-09-23,-29.4118
2009-09-24,0.0
2009-09-25,-8.3333
2009-09-29,0.0
2009-09-30,0.0
2009-10-01,13.6364
2009-10-02,4.0
2009-10-05,-7.6923
2009-10-07,-16.6667
2009-10-08,0.0
2009-10-09,0.0
2009-10-12,0.0
2009-10-14,0.0
2009-10-15,-10.0
2009-10-19,11.1111
2009-10-20,-10.0
2009-10-21,0.0
2009-10-22,0.0
2009-10-23,-11.1111
2009-10-26,0.0
2009-10-27,0.0
2009-10-28,-25.0
2009-10-29,0.0
2009-10-30,0.0
2009-11-02,0.0
2009-11-03,0.0
2009-11-05,50.0
2009-11-06,-11.1111
2009-11-10,-12.5
2009-11-12,0.0
2009-11-16,14.2857
2009-11-18,0.0
2009-11-23,-25.0
2009-11-24,50.0
2009-11-25,0.0
2009-11-27,-28.8889
2009-11-30,9.375
2009-12-01,-8.5714
2009-12-02,0.0
2009-12-03,-6.25
2009-12-15,-16.6667
2009-12-17,0.0
2009-12-18,0.0
2009-12-23,-20.0
2009-12-28,-25.0
2010-01-04,0.0
2010-01-07,33.3333
2010-01-13,0.0
2010-01-19,0.0
2010-01-20,0.0
2010-01-22,50.0
2010-01-26,-33.3333
2010-02-08,-25.0
2010-02-22,-26.6667
2010-02-23,0.0
2010-03-10,0.0
2010-03-11,81.8182
2010-03-15,-55.0
2010-03-16,0.0
2010-03-18,0.0
2010-03-19,-44.4444
2010-03-22,60.0
2010-03-23,150.0
2010-03-24,0.0
2010-03-25,0.0
2010-03-26,-50.0
