ticker,EARN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-01,-3.9
2013-05-02,1.4048
2013-05-03,0.4618
2013-05-06,-0.5618
2013-05-07,0.0514
2013-05-08,0.3593
2013-05-09,-0.0512
2013-05-10,-0.1024
2013-05-13,-0.666
2013-05-14,-0.0516
2013-05-15,-0.6708
2013-05-16,0.0519
2013-05-17,0.6231
2013-05-20,0.2064
2013-05-21,0.8239
2013-05-22,-0.4086
2013-05-23,1.4872
2013-05-24,0.3032
2013-05-28,-2.0655
2013-05-29,-1.0802
2013-05-30,1.4041000000000001
2013-05-31,-0.5128
2013-06-03,-5.8763
2013-06-04,1.0405
2013-06-05,-1.0298
2013-06-06,0.5476
2013-06-07,-0.0545
2013-06-10,0.545
2013-06-11,-2.4932
2013-06-12,-3.224
2013-06-13,3.9058
2013-06-14,0.1658
2013-06-17,-0.8278
2013-06-18,-0.4452
2013-06-19,-4.8631
2013-06-20,0.0588
2013-06-21,-0.8221
2013-06-24,1.5394
2013-06-25,0.2915
2013-06-26,3.0233
2013-06-27,-1.5358
2013-06-28,3.1196
2013-07-01,-3.4734
2013-07-02,-3.1341
2013-07-03,0.7789
2013-07-05,-8.799
2013-07-08,-0.8475
2013-07-09,1.4464000000000001
2013-07-10,-0.9721
2013-07-11,3.1414
2013-07-12,-1.5228000000000002
2013-07-15,0.7732
2013-07-16,-1.4066
2013-07-17,2.0752
2013-07-18,-1.5883
2013-07-19,0.0646
2013-07-22,-0.0645
2013-07-23,1.4203000000000001
2013-07-24,-1.9733
2013-07-25,0.0649
2013-07-26,-0.3894
2013-07-29,2.0846999999999998
2013-07-30,0.5743
2013-07-31,-1.5228000000000002
2013-08-01,-4.7036
2013-08-02,1.0142
2013-08-05,1.071
2013-08-06,-0.6623
2013-08-07,-1.2
2013-08-08,0.135
2013-08-09,0.3369
2013-08-12,6.1786
2013-08-13,1.7078
2013-08-14,-2.0522
2013-08-15,-4.5079
2013-08-16,1.9282
2013-08-19,-4.5662
2013-08-20,1.162
2013-08-21,-3.8514
2013-08-22,0.4216
2013-08-23,1.5394999999999999
2013-08-26,1.9297
2013-08-27,-0.4057
2013-08-28,0.8147
2013-08-29,1.5488
2013-08-30,0.3979
2013-09-03,-1.9155
2013-09-04,-1.4815
2013-09-05,-0.2734
2013-09-06,0.4798
2013-09-09,1.296
2013-09-10,0.202
2013-09-11,0.1344
2013-09-12,1.4765
2013-09-13,1.455
2013-09-16,0.7823
2013-09-17,1.5524
2013-09-18,0.3822
