ticker,VRTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-01-05,-16.0952
2009-01-06,34.9603
2009-01-07,-13.8772
2009-01-08,-3.2227
2009-01-09,-7.8708
2009-01-12,-15.9912
2009-01-13,-6.3885
2009-01-14,-6.546
2009-01-15,8.0477
2009-01-16,1.931
2009-01-20,-6.3599
2009-01-21,0.4335
2009-01-22,-13.3813
2009-01-23,-1.1628
2009-01-26,0.8403
2009-01-27,0.0
2009-01-28,5.8333
2009-01-29,-9.2913
2009-01-30,5.2083
2009-02-02,-2.6403
2009-02-03,-1.6949
2009-02-04,-0.8621
2009-02-05,1.2174
2009-02-06,0.1718
2009-02-09,-3.259
2009-02-10,-1.9504000000000001
2009-02-11,0.0
2009-02-12,15.009
2009-02-13,-7.2327
2009-02-17,-4.4068
2009-02-18,-3.1915
2009-02-19,-3.8462
2009-02-20,1.1429
2009-02-23,-10.9228
2009-02-24,10.3594
2009-02-25,-6.8966
2009-02-26,2.8807
2009-02-27,0.0
2009-03-02,-14.4
2009-03-03,-5.1402
2009-03-04,-0.4926
2009-03-05,0.495
2009-03-06,15.5172
2009-03-09,-1.4925
2009-03-10,2.3810000000000002
2009-03-11,5.4968
2009-03-12,20.0401
2009-03-13,-4.0067
2009-03-16,3.4783
2009-03-17,11.4286
2009-03-18,4.2232
2009-03-19,-2.3155
2009-03-20,-11.7037
2009-03-23,4.8658
2009-03-24,6.08
2009-03-25,4.2232
2009-03-26,3.4732
2009-03-27,-5.7343
2009-03-30,-9.1988
2009-03-31,6.3725
2009-04-01,-1.2288999999999999
2009-04-02,-0.4666
2009-04-03,1.4062999999999999
2009-04-06,-0.7704
2009-04-07,-2.4845
2009-04-08,3.1847
2009-04-09,16.9753
2009-04-13,-2.9024
2009-04-14,-4.8913
2009-04-15,11.2857
2009-04-16,2.8241
2009-04-17,12.2347
2009-04-20,4.5606
2009-04-21,2.1277
2009-04-22,4.0625
2009-04-23,-3.4034
2009-04-24,-3.1088
2009-04-27,2.246
2009-04-28,-2.7197
2009-04-29,12.3656
2009-04-30,8.612400000000001
2009-05-01,0.793
2009-05-04,-1.6608
2009-05-05,-3.6444
2009-05-06,0.9225
2009-05-07,6.0329
2009-05-08,19.6552
2009-05-11,0.7925
2009-05-12,0.9292
2009-05-13,-2.6204
2009-05-14,1.6726999999999999
2009-05-15,-4.2918
2009-05-18,8.0717
2009-05-19,8.1604
2009-05-20,1.4706000000000001
2009-05-21,-2.6465
2009-05-22,-1.9417
