ticker,GGROU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-11-04,-1.0
2010-12-10,1.0101
2011-02-17,5.0
2011-03-23,0.0
2011-03-29,0.0
2011-03-30,0.0
2011-04-18,0.1905
2012-02-29,12.167300000000001
2012-09-27,-6.7797
2013-03-01,4.5455
2013-03-11,3.6522
2013-04-11,0.8389
2013-04-12,-1.8303
2013-05-03,2.3729
2013-05-22,3.1457
2013-08-08,-0.8026
2013-08-09,-0.1618
2013-08-26,1.2966
2013-09-23,0.0
2013-12-09,-8.0
2013-12-16,0.0
2014-01-21,-1.7391
2014-02-05,0.0
2014-02-07,0.0
2014-02-24,1.7699
2014-04-15,0.8696
2014-04-17,-2.5862
2014-04-22,0.0
2014-05-06,0.0
2014-05-08,-2.6549
2014-06-11,0.0
2014-07-28,0.0
2014-09-10,0.0
2014-10-09,-4.5455
2014-10-31,2.8571
2014-12-30,-1.8519
2015-06-04,-5.6604
2015-06-08,-4.0
2015-06-10,-1.0417
2015-07-23,0.0
2015-07-29,-1.0526
2015-11-23,-4.2553
2016-01-28,3.5556
2016-02-29,3.4335
2016-03-02,0.0
2016-03-03,-4.5643
2016-04-06,0.4348
2016-04-07,0.0
2016-05-26,2.8139
2016-09-06,0.0
2017-02-09,0.0
2017-05-01,-5.2632
2017-08-07,0.0
2017-09-29,-11.1111
2017-12-29,2.5
2018-02-07,-2.439
2018-03-09,0.0
2018-03-12,0.0
2018-06-04,-2.5
2018-08-13,-3.8462
2018-08-16,1.3333
2018-09-10,-2.6316
2018-12-10,-18.9189
2019-02-07,8.3333
2019-03-06,-1.5385
2019-04-29,-6.25
2019-07-10,0.0
2019-09-24,-16.6667
2019-12-12,10.0
2020-02-10,0.0
2020-02-21,0.0
2020-03-02,0.0
2020-05-26,-3.6364
