ticker,JOBS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-29,51.0714
2004-09-30,-1.8913
2004-10-01,26.747
2004-10-04,1.5209000000000001
2004-10-05,-1.0112
2004-10-06,3.7457000000000003
2004-10-07,-2.9905
2004-10-08,-6.8759
2004-10-11,0.8437
2004-10-12,1.0809
2004-10-13,-2.9703
2004-10-14,-2.0408
2004-10-15,2.0833
2004-10-18,2.2449
2004-10-19,14.7705
2004-10-20,0.0696
2004-10-21,-2.2245
2004-10-22,1.813
2004-10-25,12.7444
2004-10-26,-0.4336
2004-10-27,-3.6081
2004-10-28,-10.5195
2004-10-29,-2.9931
2004-11-01,1.8959000000000001
2004-11-02,4.0168
2004-11-03,-0.8804
2004-11-04,8.528
2004-11-05,4.6951
2004-11-08,10.246
2004-11-09,-3.6441
2004-11-10,2.9024
2004-11-11,0.3134
2004-11-12,-3.1241
2004-11-15,-0.2345
2004-11-16,-2.1452
2004-11-17,-3.9039
2004-11-18,-0.9375
2004-11-19,-2.3659
2004-11-22,3.7157
2004-11-23,5.1402
2004-11-24,4.4741
2004-11-26,-0.7374
2004-11-29,0.0
2004-11-30,1.6857
2004-12-01,10.7053
2004-12-02,-3.4264
2004-12-03,-0.134
2004-12-06,2.608
2004-12-07,-2.5391
2004-12-08,5.9211
2004-12-09,5.0932
2004-12-10,16.2648
2004-12-13,12.5478
2004-12-14,-11.6547
2004-12-15,-2.1063
2004-12-16,-3.4886
2004-12-17,6.0606
2004-12-20,3.3673
2004-12-21,3.6525
2004-12-22,-4.7238
2004-12-23,0.7997
2004-12-27,-3.094
2004-12-28,3.1314
2004-12-29,0.8137
2004-12-30,7.5786999999999995
2004-12-31,-4.9039
2005-01-03,-2.4052
2005-01-04,-4.377
2005-01-05,-0.6186
2005-01-06,-1.2448
2005-01-07,-0.2521
2005-01-10,-0.6108
2005-01-11,1.4834
2005-01-12,-5.9303
2005-01-13,-3.8402
2005-01-14,1.1519
2005-01-18,-35.3705
2005-01-19,-8.8277
2005-01-20,-6.8552
2005-01-21,-0.1247
2005-01-24,-13.6137
2005-01-25,9.1084
2005-01-26,0.9231
2005-01-27,-1.79
2005-01-28,-1.0695000000000001
2005-01-31,9.009
2005-02-01,-3.5537
2005-02-02,7.1979
2005-02-03,8.9129
2005-02-04,0.2202
2005-02-07,-8.7148
2005-02-08,-3.5299
2005-02-09,-3.5759
2005-02-10,-4.1828
2005-02-11,1.9352
2005-02-14,1.766
2005-02-15,-5.1193
2005-02-16,-2.2405
