ticker,GVHIB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-08-16,83.3333
2012-08-17,36.3636
2012-08-20,70.0
2012-08-21,5.8824
2012-08-22,20.3704
2012-08-23,15.3846
2012-08-24,5.3333
2012-08-27,5.0633
2012-08-28,4.8193
2012-08-29,6.8966
2012-08-30,0.0
2012-08-31,4.3011
2012-09-04,0.0
2012-09-05,0.0
2012-09-06,3.0928
2012-09-07,1.0
2012-09-10,2.9703
2012-09-11,2.8846
2012-09-12,0.0
2012-09-13,-0.9346
2012-09-14,2.8302
2012-09-17,0.0
2012-09-18,0.9174
2012-09-19,1.8182
2012-09-20,0.0
2012-09-21,0.0
2012-09-24,-0.8929
2012-09-25,2.7027
2012-09-26,0.0
2012-09-27,1.7544
2012-09-28,0.0
2012-10-01,2.5862
2012-10-02,3.3613
2012-10-03,0.0
2012-10-04,-2.439
2012-10-05,3.3333
2012-10-09,1.6129
2012-10-10,-0.7937
2012-10-11,0.0
2012-10-12,1.6
2012-10-15,0.0
2012-10-16,0.0
2012-10-17,-8.6614
2012-10-18,8.6207
2012-10-19,0.0
2012-10-22,-3.1746
2012-10-23,-17.2131
2012-10-24,-0.9901
2012-10-25,-1.0
2012-10-26,-44.4444
2012-10-31,36.3636
2012-11-01,-20.0
2012-11-02,13.3021
2012-11-05,-24.9793
2012-11-06,17.647100000000002
2012-11-07,-8.3333
2012-11-08,0.0
2012-11-13,-1.8182
2012-11-14,1.8519
2012-11-15,5.4545
2012-11-16,6.8966
2012-11-19,12.9032
2012-11-20,0.1429
2012-11-21,-0.1427
2012-11-26,-11.4286
2012-11-27,0.0
2012-11-28,-1.6129
2012-11-29,3.2787
2012-11-30,3.1746
2012-12-03,-13.8462
2012-12-04,16.0714
2012-12-05,7.6923
2012-12-07,-1.4285999999999999
2012-12-10,-5.7971
2012-12-11,0.0
2012-12-12,0.0
2012-12-13,-1.5385
2012-12-18,-1.5625
2012-12-19,-0.0794
2012-12-20,-7.8634
2012-12-21,-5.194
2012-12-24,-9.0702
2012-12-28,9.975
2012-12-31,-18.1632
2013-01-02,11.1111
2013-01-07,-10.025
2013-01-08,-11.0864
2013-01-09,-25.0
2013-01-10,-6.3333
2013-01-11,10.3203
2013-01-14,-16.129
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,65.3846
2013-01-22,-16.2791
2013-01-23,5.5556
2013-01-24,2.6316
2013-01-25,-5.1282
2013-01-28,-5.4054
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,-2.8571
