ticker,UCBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-25,-5.5556
2000-03-14,4.7059
2000-10-27,-14.6067
2000-11-20,-8.635
2001-02-05,-42.3941
2001-04-03,50.0
2001-05-03,-4.6667
2001-07-16,-16.0839
2001-07-30,37.5
2001-08-03,18.1818
2001-08-17,-38.4615
2001-09-18,37.5
2001-09-21,9.0909
2001-09-24,2.7778
2001-10-10,-2.7027
2001-10-15,0.0
2001-12-14,-16.6667
2002-02-07,29.6667
2002-02-08,0.2571
2002-02-12,2.5641
2002-02-15,0.0
2002-03-14,0.0
2002-03-18,10.0
2002-03-19,2.2727
2002-03-20,5.0556
2002-03-21,-0.3181
2002-03-22,1.0638
2002-03-25,0.2105
2002-03-26,1.1555
2002-03-27,8.972
2002-03-28,9.0147
2002-04-01,-7.1678
2002-04-02,-0.8475
2002-04-03,-1.2346
2002-04-04,-0.6731
2002-04-05,0.0581
2002-04-08,-3.0573
2002-04-09,-3.0739
2002-04-10,2.5535
2002-04-11,0.3815
2002-04-12,2.0204
2002-04-15,3.4314
2002-04-16,3.3365
2002-04-17,0.532
2002-04-18,0.1825
2002-04-19,-0.0911
2002-04-22,0.2735
2002-04-23,-0.0364
2002-04-24,0.0364
2002-04-25,0.3636
2002-04-26,-0.2174
2002-04-29,2.215
2002-04-30,0.7638
2002-05-01,0.2115
2002-05-02,-0.088
2002-05-03,-0.493
2002-05-06,0.8316
2002-05-07,0.0877
2002-05-08,-0.0701
2002-05-09,0.0877
2002-05-10,0.0
2002-05-13,-0.0876
2002-05-14,1.7193
2002-05-15,2.2594
2002-05-16,0.6915
2002-05-17,-0.2429
2002-05-20,0.2603
2002-05-21,-0.7034
2002-05-22,-0.1181
2002-05-23,-0.4897
2002-05-24,-0.8145
2002-05-28,-4.0847
2002-05-29,0.1382
2002-05-30,2.7788
2002-05-31,2.253
2002-06-03,-0.8136
2002-06-04,-2.5974
2002-06-05,0.4211
2002-06-06,-0.4193
2002-06-07,-2.1404
2002-06-10,1.2549000000000001
2002-06-11,-4.0014
2002-06-12,2.038
2002-06-13,0.6522
2002-06-14,0.216
2002-06-17,-2.2989
2002-06-18,2.7574
2002-06-19,0.7156
2002-06-20,0.2842
2002-06-21,-1.9837
2002-06-24,1.1926
2002-06-25,-0.3571
2002-06-26,0.0358
2002-06-27,0.3941
2002-06-28,5.7102
2002-07-01,-0.7427
2002-07-02,0.2721
2002-07-03,-2.5441000000000003
2002-07-05,0.5917
2002-07-08,0.2422
