ticker,SDGB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-10-09,0.3759
2006-10-11,-2.6217
2006-10-12,1.1538
2006-10-19,0.0
2006-11-27,-4.943
2007-05-10,6.0
2007-05-11,-1.8868
2007-06-07,0.9615
2007-06-08,1.9048
2007-06-18,-4.6729
2007-08-16,-13.7255
2007-08-21,22.7273
2007-12-31,-25.9259
2008-11-17,-50.0
2008-12-31,80.0
2009-04-30,-44.4444
2009-12-03,0.0
2010-05-12,-50.0
2011-01-20,60.0
2011-04-19,26.5823
2011-07-21,1.0
2011-09-21,-15.7426
2012-01-23,0.0
2012-01-27,0.0
2012-03-20,-0.2404
2012-05-10,44.5783
2012-05-11,4.1667
2012-05-16,12.0
2012-05-31,-10.7143
2012-06-08,0.0
2012-06-26,0.0
2012-07-11,12.0
2012-07-25,1.4285999999999999
2012-12-05,-1.4085
2013-01-03,1.7856999999999998
2013-02-19,0.0
2013-03-07,0.0
2013-03-11,0.0
2013-03-15,1.7130999999999998
2013-03-19,0.0
2013-03-25,0.0
2013-03-28,1.7544
2013-04-11,-1.7241
2013-05-09,0.0
2013-05-15,1.7544
2013-05-16,-0.8276
2013-07-10,-0.904
2013-07-11,0.7018
2013-07-12,-0.3484
2013-07-15,0.0699
2013-07-19,-0.4193
2013-07-29,0.0
2013-08-07,0.0
2013-08-14,1.7544
2013-08-22,0.0
2013-08-28,0.0
2013-09-03,0.0
2013-09-05,1.7241
2013-10-15,0.0
2013-10-28,1.6949
2013-12-31,0.0
2015-04-28,25.9489
2015-04-30,5.4795
2015-08-21,-0.5195
2015-10-28,0.7833
2015-10-30,0.0
2015-12-03,1.2953000000000001
2015-12-07,-6.3939
2016-04-13,1.541
2016-05-03,0.0
2016-05-11,35.5014
2016-05-23,-16.0
2016-07-01,-8.3333
2016-07-21,-3.6364
2016-07-29,4.5822
2016-08-22,-4.3814
2016-10-19,0.7058
2016-11-03,3.7736
2016-11-09,-3.3766
2016-11-21,0.0
2016-12-19,0.0
2016-12-27,4.8387
2017-02-09,-4.359
2017-04-12,5.2916
2017-05-01,0.0
2017-08-01,-3.8462
2017-09-27,6.0687
2017-10-18,-5.0633
2017-11-09,-4.0
2017-11-10,5.0
2018-01-09,5.8201
2018-01-19,3.5
2018-01-25,0.0
2018-03-06,-7.2957
2018-08-07,2.6233
2018-08-10,4.8057
2018-10-25,0.6876
2018-12-28,-1.2195
2018-12-31,0.0
2019-01-07,0.4938
2019-02-05,3.1941
2019-07-16,0.6711
2019-09-18,0.6711
2019-09-23,9.5238
2019-11-07,-10.8696
2019-12-09,-2.1951
2019-12-13,1.2469000000000001
2019-12-16,0.0493
2020-01-10,-0.0492
2020-01-15,0.2463
2020-01-16,8.1081
2020-01-17,4.5455
2020-02-03,10.8696
2020-02-10,5.8824
2020-03-20,-1.3403
2020-04-06,-18.717
2020-04-29,2.1356
2020-06-15,0.0
2020-07-27,-1.5909
