ticker,COIL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-02,0.0
2011-06-10,4.0
2011-06-14,0.0
2011-07-13,-71.7949
2011-07-14,0.0
2011-07-18,1.8182
2011-07-19,-0.8929
2011-07-20,2.7027
2011-07-22,5.2632
2011-07-28,4.1667
2011-07-29,-1.6
2011-08-01,0.813
2011-08-08,-7.2581
2011-08-10,7.8261
2011-08-12,-17.7419
2011-08-15,-1.9607999999999999
2011-08-16,0.0
2011-08-17,1.0
2011-08-23,0.0
2011-08-25,0.0
2011-08-30,0.0
2011-08-31,0.0
2011-09-19,18.8119
2011-09-20,0.0
2011-09-21,0.0
2011-10-05,0.0
2011-10-13,-16.6667
2011-10-17,18.0
2011-10-18,-3.3898
2011-10-31,-21.0526
2011-11-01,0.0
2011-11-21,14.4444
2011-12-13,-82.5243
2011-12-14,400.0
2011-12-15,-11.1111
2011-12-16,26.25
2011-12-19,-50.495
2011-12-20,80.0
2011-12-23,-11.1111
2011-12-29,-6.25
2012-01-05,24.0
2012-01-09,-19.3548
2012-01-13,24.0
2012-01-17,-24.7312
2012-01-18,32.8571
2012-01-24,0.0
2012-01-30,-3.2258
2012-01-31,-16.6667
2012-02-01,13.3333
2012-02-02,-47.0588
2012-02-03,88.8889
2012-02-06,0.0
2012-02-07,-5.8824
2012-02-08,0.0
2012-02-09,-21.25
2012-02-10,42.8571
2012-02-15,0.0
2012-02-16,-38.8889
2012-02-17,18.1818
2012-02-21,-7.6923
2012-02-23,8.3333
2012-02-24,6.1538
2012-02-27,-13.0435
2012-02-28,-16.6667
2012-02-29,20.0
2012-03-01,6.6667
2012-03-02,17.1875
2012-03-05,20.0
2012-03-06,-11.1111
2012-03-07,0.0
2012-03-08,-6.25
2012-03-09,0.0
2012-03-12,-13.3333
2012-03-13,7.6923
2012-03-15,7.1429
2012-03-16,2.6667
2012-03-22,-15.5844
2012-03-23,-7.6923
2012-03-27,-5.0
2012-04-04,-10.526299999999999
2012-04-11,0.0
2012-04-13,0.0
2012-04-17,0.0
2012-04-18,0.0
2012-04-30,0.0
2012-05-01,-1.9607999999999999
2012-05-02,6.0
2012-05-03,0.0
2012-05-09,-15.0943
2012-05-11,13.3333
2012-05-14,7.8431
2012-05-15,0.0
2012-05-21,-9.0909
2012-05-22,6.0
2012-05-23,3.7736
2012-05-24,0.0
2012-05-25,14.5455
2012-05-29,-27.4008
2012-05-30,35.5562
2012-05-31,-12.9032
2012-06-01,11.1111
2012-06-04,1.6667
2012-06-05,0.0
