ticker,TRTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-07-20,-2.1
2017-07-21,0.4597
2017-07-24,0.4067
2017-07-25,-0.7595
2017-07-26,0.7653
2017-07-27,0.0506
2017-07-28,0.3543
2017-07-31,0.353
2017-08-01,0.0
2017-08-02,-0.0503
2017-08-03,0.3017
2017-08-04,0.1504
2017-08-07,-0.5005
2017-08-08,0.0503
2017-08-09,-0.2011
2017-08-10,-0.1008
2017-08-11,0.1009
2017-08-14,0.1008
2017-08-15,-0.2013
2017-08-16,-0.8069
2017-08-17,-0.8643
2017-08-18,0.0513
2017-08-21,-2.1527
2017-08-22,0.681
2017-08-23,0.1041
2017-08-24,1.4033
2017-08-25,1.2301
2017-08-28,0.4051
2017-08-29,0.353
2017-08-30,0.201
2017-08-31,1.4544000000000001
2017-09-01,0.7909
2017-09-05,0.3923
2017-09-06,-0.977
2017-09-07,0.1973
2017-09-08,0.3447
2017-09-11,0.0981
2017-09-12,0.0
2017-09-13,-1.0784
2017-09-14,-0.9911
2017-09-15,-2.1522
2017-09-18,-0.2046
2017-09-19,1.1276
2017-09-20,-0.0507
2017-09-21,-0.8114
2017-09-22,0.3579
2017-09-25,0.0
2017-09-26,-0.917
2017-09-27,1.2852999999999999
2017-09-28,0.6091
2017-09-29,-0.2523
2017-10-02,0.9105
2017-10-03,0.802
2017-10-04,-0.8951
2017-10-05,0.853
2017-10-06,0.1012
2017-10-09,0.2527
2017-10-10,-0.8569
2017-10-11,1.0168
2017-10-12,-0.0503
2017-10-13,0.1007
2017-10-16,0.0
2017-10-17,-0.8551
2017-10-18,-0.6088
2017-10-19,-0.8678
2017-10-20,-0.4634
2017-10-23,-0.3621
2017-10-24,0.7269
2017-10-25,0.3608
2017-10-26,-1.6436
2017-10-27,0.8355
2017-10-30,-0.3107
2017-10-31,1.4026
2017-11-01,-0.1025
2017-11-02,0.1538
2017-11-03,-0.4608
2017-11-06,-0.5658
2017-11-07,-0.2587
2017-11-08,0.5187
2017-11-09,-0.3096
2017-11-10,-0.2588
2017-11-13,0.8303
2017-11-14,0.0
2017-11-15,-0.1029
2017-11-16,-0.3091
2017-11-17,-0.1034
2017-11-20,0.8795
2017-11-21,0.5128
2017-11-22,-0.5102
2017-11-24,-0.1538
2017-11-27,-0.5136
2017-11-28,0.413
2017-11-29,0.0514
2017-11-30,-1.3875
2017-12-01,-0.3648
2017-12-04,0.523
2017-12-05,0.9886
2017-12-06,-0.4122
2017-12-07,0.5691
2017-12-08,0.0514
