ticker,HOME US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-08-04,0.0
2016-08-05,2.0667
2016-08-08,-2.0248
2016-08-09,1.4
2016-08-10,1.1177
2016-08-11,2.2757
2016-08-12,-2.9879
2016-08-15,-0.1311
2016-08-16,0.3281
2016-08-17,-1.8313000000000001
2016-08-18,0.9327
2016-08-19,-0.462
2016-08-22,-0.5305
2016-08-23,9.0
2016-08-24,-0.6728
2016-08-25,-0.9852
2016-08-26,0.0
2016-08-29,-1.7412999999999998
2016-08-30,-1.0127
2016-08-31,-2.4936
2016-09-01,0.5246
2016-09-02,0.2609
2016-09-06,-4.8146
2016-09-07,-11.4833
2016-09-08,-6.5637
2016-09-09,-0.3306
2016-09-12,-2.8192
2016-09-13,6.2287
2016-09-14,1.4458
2016-09-15,-0.3167
2016-09-16,6.8308
2016-09-19,3.1227
2016-09-20,1.0094
2016-09-21,5.2819
2016-09-22,-0.339
2016-09-23,-0.2721
2016-09-26,-0.8868
2016-09-27,0.0
2016-09-28,1.7894
2016-09-29,1.8932
2016-09-30,0.5309
2016-10-03,-7.6568000000000005
2016-10-04,-4.1458
2016-10-05,2.2371
2016-10-06,-0.8023
2016-10-07,0.0
2016-10-10,0.6618
2016-10-11,-2.1183
2016-10-12,-2.6866
2016-10-13,-0.6902
2016-10-14,-2.3938
2016-10-17,1.3449
2016-10-18,0.6245
2016-10-19,-1.6292
2016-10-20,-1.3407
2016-10-21,-2.6379
2016-10-24,2.5452
2016-10-25,-5.5244
2016-10-26,-4.5763
2016-10-27,-0.7105
2016-10-28,0.6261
2016-10-31,-0.4444
2016-11-01,0.9821
2016-11-02,-2.0336
2016-11-03,-3.0686
2016-11-04,-1.3035
2016-11-07,2.6414999999999997
2016-11-08,-3.2169
2016-11-09,2.3742
2016-11-10,2.0408
2016-11-11,2.2727
2016-11-14,1.3333
2016-11-15,0.3509
2016-11-16,-2.0105
2016-11-17,1.2489
2016-11-18,3.6123
2016-11-21,2.466
2016-11-22,0.6639
2016-11-23,0.4946
2016-11-25,3.3634
2016-11-28,-2.0635
2016-11-29,2.7553
2016-11-30,1.5773000000000001
2016-12-01,-3.2609
2016-12-02,2.1669
2016-12-05,6.9128
2016-12-06,3.8207
2016-12-07,0.0708
2016-12-08,0.0707
2016-12-09,0.212
2016-12-12,-0.7757
2016-12-13,-1.8479
2016-12-14,-1.593
2016-12-15,2.2075
2016-12-16,4.1037
2016-12-19,0.9682
2016-12-20,4.3836
2016-12-21,-2.1654
