ticker,CALI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-10-23,-2.5974
2008-10-24,0.0
2008-10-31,33.3333
2008-11-03,25.0
2008-11-04,-20.0
2008-11-05,35.0
2008-11-06,29.6296
2008-11-07,14.2857
2008-11-10,25.0
2008-11-11,18.0
2008-11-12,11.8644
2008-11-13,-3.0303
2008-11-14,-3.125
2008-11-17,11.9355
2008-11-18,5.1873
2008-11-19,-4.6575
2008-11-20,3.4483
2008-11-21,2.7778
2008-11-24,2.7027
2008-11-25,3.6842
2008-11-26,1.0152
2008-11-28,0.0
2008-12-01,-1.2563
2008-12-02,-0.7634
2008-12-03,2.3077
2008-12-04,0.0
2008-12-05,0.0
2008-12-08,-0.5013
2008-12-09,1.0076
2008-12-10,-0.2494
2008-12-11,0.0
2008-12-12,-1.25
2008-12-15,1.2658
2008-12-16,-6.25
2008-12-17,5.8667
2008-12-18,1.7631999999999999
2008-12-19,0.2475
2008-12-22,-4.4444
2008-12-23,4.3928
2008-12-24,-0.2475
2008-12-26,-0.7444
2008-12-29,0.0
2008-12-30,0.0
2008-12-31,0.0
2009-01-02,0.0
2009-01-05,-0.5
2009-01-06,-0.7538
2009-01-08,0.5063
2009-01-09,-1.7631999999999999
2009-01-12,2.3077
2009-01-13,-2.2556
2009-01-14,-1.2821
2009-01-15,0.0
2009-01-16,1.039
2009-01-20,-2.5707
2009-01-21,0.7916
2009-01-22,3.4031000000000002
2009-01-23,-1.2658
2009-01-26,-1.0256
2009-01-27,-4.1451
2009-01-28,4.0541
2009-01-29,-0.7792
2009-01-30,0.7853
2009-02-02,0.5195
2009-02-03,-2.0672
2009-02-04,2.3747
2009-02-05,-1.0309
2009-02-06,-1.0417
2009-02-10,-5.2632
2009-02-11,1.9444
2009-02-12,1.0899
2009-02-13,-3.2345
2009-02-17,3.0641
2009-02-18,-8.3784
2009-02-19,2.9499
2009-02-23,-2.5788
2009-02-24,11.7647
2009-02-25,7.6316
2009-02-26,-0.489
2009-02-27,-0.2457
2009-03-02,0.0
2009-03-03,2.9557
2009-03-04,-1.9139
2009-03-05,-1.2195
2009-03-06,0.2469
2009-03-09,-0.9852
2009-03-10,0.2488
2009-03-11,-3.2258
2009-03-12,1.2821
2009-03-13,0.0
2009-03-16,-5.0633
2009-03-17,5.3333
2009-03-18,-1.2658
2009-03-19,2.5641
2009-03-20,-6.25
2009-03-23,0.0
2009-03-24,-6.6667
2009-03-25,1.1429
2009-03-26,-1.6949
2009-03-27,2.0115
