ticker,CSCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.8751
2000-01-04,-5.6102
2000-01-05,-0.3064
2000-01-06,-1.6595
2000-01-07,5.875
2000-01-10,3.719
2000-01-11,-3.0165
2000-01-12,-2.5235
2000-01-13,2.2878
2000-01-14,1.2949
2000-01-18,4.1255
2000-01-19,0.279
2000-01-20,0.0556
2000-01-21,2.5584
2000-01-24,-5.3688
2000-01-25,2.808
2000-01-26,-4.4036
2000-01-27,-0.5248
2000-01-28,-2.5791
2000-01-31,5.4152000000000005
2000-02-01,7.5913
2000-02-02,-3.3422
2000-02-03,3.4577
2000-02-04,2.8117
2000-02-07,3.354
2000-02-08,0.4993
2000-02-09,2.3845
2000-02-10,5.5313
2000-02-11,-3.6782
2000-02-14,-0.3341
2000-02-15,-1.9157
2000-02-16,-0.647
2000-02-17,2.617
2000-02-18,-3.592
2000-02-22,-1.4903
2000-02-23,11.8507
2000-02-24,-0.9919
2000-02-25,-3.2787
2000-02-28,-1.6478000000000002
2000-02-29,1.2446
2000-03-01,-0.3783
2000-03-02,0.8068
2000-03-03,3.5311
2000-03-06,-0.955
2000-03-07,-2.9844
2000-03-08,0.2366
2000-03-09,5.2408
2000-03-10,-2.1086
2000-03-13,-0.1375
2000-03-14,-3.2584
2000-03-15,-2.3719
2000-03-16,2.3688000000000002
2000-03-17,2.5276
2000-03-20,-0.6481
2000-03-21,5.021
2000-03-22,2.4958
2000-03-23,7.7922
2000-03-24,2.008
2000-03-27,0.8661
2000-03-28,-2.7321999999999997
2000-03-29,-2.3274
2000-03-30,-3.2046
2000-03-31,5.0085
2000-04-03,-5.6589
2000-04-04,0.2571
2000-04-05,-1.3675
2000-04-06,-0.4333
2000-04-07,4.3516
2000-04-10,-3.1693
2000-04-11,-3.5314
2000-04-12,-7.1429
2000-04-13,-5.9615
2000-04-14,-6.7485
2000-04-17,16.6667
2000-04-18,4.1353
2000-04-19,-4.5126
2000-04-20,-1.5123
2000-04-24,-2.5911999999999997
2000-04-25,4.0394
2000-04-26,1.1364
2000-04-27,3.3708
2000-04-28,0.4755
2000-05-01,3.0426
2000-05-02,-4.8119
2000-05-03,-2.8493
2000-05-04,-3.6897
2000-05-05,6.4833
2000-05-08,-7.3801
2000-05-09,0.0
2000-05-10,-6.7729
2000-05-11,2.9915000000000003
2000-05-12,-0.5187
2000-05-15,0.1043
2000-05-16,0.9375
2000-05-17,-4.2312
2000-05-18,-4.5259
2000-05-19,-3.4989
2000-05-22,3.3918
