ticker,LCDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-06-25,-74.5
2012-06-28,290.1961
2012-06-29,0.0
2012-08-07,-77.3869
2012-08-17,342.2222
2012-08-21,0.0
2012-08-22,0.5025
2012-08-23,0.0
2012-08-24,0.0
2012-08-28,0.0
2012-08-29,12.5
2012-09-14,-11.1111
2012-09-17,0.0
2012-09-18,0.0
2012-09-28,0.0
2012-10-01,0.0
2012-10-02,-10.0
2012-10-24,-86.1111
2012-10-25,580.0
2012-11-20,-11.7647
2012-11-21,0.0
2012-11-23,-6.6667
2012-11-26,0.0
2012-11-27,0.0
2012-11-28,-3.5714
2012-11-30,0.0
2012-12-03,-3.7037
2012-12-06,-11.538499999999999
2012-12-10,-32.1739
2012-12-11,28.2051
2012-12-12,2.0
2012-12-14,-1.9607999999999999
2012-12-17,30.0
2012-12-20,-3.8462
2012-12-21,8.0
2012-12-28,11.1111
2013-01-14,-3.3333
2013-01-15,1.3793
2013-01-23,-4.7619
2013-01-24,0.0
2013-01-28,-0.7143
2013-01-30,4.3165
2013-02-19,-2.7586
2013-02-28,-4.2553
2013-03-28,-7.4074
2013-04-05,-20.0
2013-04-08,8.1
2013-04-15,-15.8187
2013-04-16,-12.0879
2013-04-22,-1.75
2013-04-30,-10.9415
2013-05-01,-5.7143
2013-05-09,-39.3939
2013-05-10,0.0
2013-05-13,0.0
2013-05-14,-35.0
2013-05-28,0.0
2013-05-30,-3.8462
2013-06-04,0.0
2013-06-05,188.0
2013-06-06,-6.9444
2013-06-07,34.3284
2013-06-10,11.1111
2013-06-14,20.0
2013-07-01,-14.1667
2013-07-02,-2.9126
2013-07-12,-25.0
2013-07-15,28.0
2013-07-18,-16.6667
2013-07-22,50.0
2013-07-25,0.0
2013-07-26,0.0
2013-07-30,8.3333
2013-08-01,-42.3077
2013-08-02,0.0
2013-08-07,28.0
2013-08-12,-21.875
2013-08-14,33.3333
2013-08-15,0.0
2013-08-16,0.0
2013-08-20,0.0
2013-08-21,-30.0
2013-08-22,42.8571
2013-08-26,0.0
2013-08-29,-10.0
2013-09-03,-16.6667
2013-09-16,-1.3333
2013-09-23,21.6216
2013-10-01,-2.2222
2013-10-04,-42.0455
2013-10-14,72.549
2013-10-15,13.6364
2013-10-16,0.0
2013-11-06,0.0
2013-11-08,0.0
2013-11-11,-25.0
2013-11-14,33.3333
2013-11-15,0.0
2013-11-18,-14.0
2013-11-19,16.2791
2013-11-20,-25.0
2013-11-21,0.0
2013-11-25,26.6667
