ticker,TKAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-11-27,15.3846
2015-11-30,24.4444
2015-12-01,25.0
2015-12-02,2.8571
2015-12-03,-0.2778
2015-12-07,-34.5404
2015-12-08,2.1277
2015-12-09,2.0833
2015-12-10,0.0
2015-12-11,2.0408
2015-12-17,0.0
2015-12-18,8.0
2015-12-28,3.7037
2015-12-29,0.0
2015-12-30,0.0
2016-01-05,1.7856999999999998
2016-01-06,1.7544
2016-01-14,3.4483
2016-01-19,0.0
2016-02-02,0.0
2016-02-03,-3.0667
2016-02-08,3.1637
2016-02-10,3.3333
2016-02-11,0.0
2016-02-17,0.0
2016-02-18,1.6129
2016-02-19,-1.5873
2016-02-23,2.5806
2016-02-25,1.5723
2016-02-26,2.1672
2016-03-01,1.5152
2016-03-02,0.8955
2016-03-03,3.5503
2016-03-04,0.0
2016-03-08,0.5714
2016-03-09,0.8523
2016-03-11,0.8451
2016-03-14,0.5587
2016-03-23,0.0
2016-03-29,1.3889
2016-03-30,0.0
2016-03-31,4.6575
2016-04-01,4.712
2016-04-04,5.0
2016-04-05,15.0
2016-04-06,1.6562999999999999
2016-04-07,1.833
2016-04-08,-3.0
2016-04-11,-0.4124
2016-04-12,2.4845
2016-04-13,-1.8182
2016-04-14,2.4691
2016-04-15,-0.0464
2016-04-18,1.4527
2016-04-19,0.9901
2016-04-20,0.9804
2016-04-21,2.7184
2016-04-22,3.9698
2016-04-25,12.7273
2016-04-26,0.0
2016-04-27,0.0
2016-04-28,53.2258
2016-04-29,-35.7895
2016-05-02,1.6393
2016-05-03,-4.0323
2016-05-04,5.8824
2016-05-05,-4.7619
2016-05-06,2.5
2016-05-09,1.1381999999999999
2016-05-10,-3.537
2016-05-11,4.1667
2016-05-13,-0.8
2016-05-16,-3.2258
2016-05-18,0.0
2016-05-20,0.0
2016-05-23,-8.3333
2016-05-24,6.3636
2016-05-26,0.0
2016-05-31,-1.7094
2016-06-01,3.4783
2016-06-02,2.8571
2016-06-03,0.4902
2016-06-06,-1.626
2016-06-07,2.4793
2016-06-08,-2.4194
2016-06-13,3.3058
2016-06-14,0.0
2016-06-15,-0.64
2016-06-17,-0.161
2016-06-20,0.0
2016-06-21,-0.1613
2016-06-22,1.6155
2016-06-23,0.9539
2016-06-24,0.9449
2016-06-27,1.4041000000000001
2016-06-28,0.7692
2016-06-29,1.2214
2016-06-30,-0.4525
2016-07-01,0.7576
2016-07-06,0.7519
2016-07-07,1.4925
2016-07-08,0.0
