ticker,CMI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.0699
2000-01-04,-2.7741
2000-01-05,0.1359
2000-01-06,3.5278
2000-01-07,2.6212
2000-01-10,1.4049
2000-01-11,-5.6675
2000-01-12,0.4005
2000-01-13,1.7287
2000-01-14,-2.3529
2000-01-18,-0.9371
2000-01-19,-2.2973
2000-01-20,-2.213
2000-01-21,-2.6874000000000002
2000-01-24,-3.0523
2000-01-25,-2.6987
2000-01-26,0.3082
2000-01-27,-2.1505
2000-01-28,-2.9827
2000-01-31,-0.9709
2000-02-01,-2.6144
2000-02-02,-1.8456000000000001
2000-02-03,2.2222
2000-02-04,0.5017
2000-02-07,-1.1647
2000-02-08,-0.5051
2000-02-09,-1.0152
2000-02-10,0.1709
2000-02-11,-4.2661999999999995
2000-02-14,0.8913
2000-02-15,1.5901
2000-02-16,3.1304
2000-02-17,-2.6981
2000-02-18,12.9983
2000-02-22,-0.1534
2000-02-23,-5.9908
2000-02-24,-8.4967
2000-02-25,-1.0714
2000-02-28,-2.0217
2000-02-29,-0.9294
2000-03-01,1.6886
2000-03-02,-2.7675
2000-03-03,5.1233
2000-03-06,-4.6931
2000-03-07,-5.1136
2000-03-08,-0.7984
2000-03-09,3.0181
2000-03-10,0.0
2000-03-13,-1.7578
2000-03-14,0.1988
2000-03-15,6.3492
2000-03-16,11.0075
2000-03-17,-4.3697
2000-03-20,1.0545
2000-03-21,3.6522
2000-03-22,-1.3423
2000-03-23,4.0816
2000-03-24,-0.3268
2000-03-27,0.8197
2000-03-28,-3.0894
2000-03-29,1.0067
2000-03-30,-3.4884
2000-03-31,3.4423
2000-04-03,-0.8319
2000-04-04,3.0201
2000-04-05,-1.4658
2000-04-06,-2.8099
2000-04-07,-0.8503
2000-04-10,-0.8576
2000-04-11,0.173
2000-04-12,-1.5544
2000-04-13,8.4211
2000-04-14,-5.178
2000-04-17,0.1706
2000-04-18,2.0443
2000-04-19,-3.3388999999999998
2000-04-20,-0.1727
2000-04-24,0.519
2000-04-25,1.2048
2000-04-26,-1.5306
2000-04-27,-1.209
2000-04-28,-0.5245
2000-05-01,-0.3515
2000-05-02,-2.1164
2000-05-03,-2.1622
2000-05-04,-0.3683
2000-05-05,0.9242
2000-05-08,-0.3663
2000-05-09,-0.5515
2000-05-10,-0.3697
2000-05-11,2.7829
2000-05-12,0.361
2000-05-15,-1.6187
2000-05-16,0.7313
2000-05-17,-0.726
2000-05-18,0.1828
2000-05-19,-0.5474
