ticker,CEQXF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-09-26,3.4762
2007-10-15,11.7188
2007-11-12,4.359
2007-11-26,-7.8792
2007-12-10,-4.225
2007-12-11,-3.2405
2007-12-19,6.1486
2008-01-18,3.5248
2008-02-04,15.747
2008-02-08,-6.3690999999999995
2008-02-20,-34.0913
2008-02-25,66.6667
2008-02-26,12.0
2008-02-27,-2.0759
2008-02-28,0.9118
2008-02-29,-6.1983
2008-03-03,0.5635
2008-03-07,0.3257
2008-03-10,0.7519
2008-03-12,3.935
2008-03-13,-3.3962
2008-03-24,1.3496000000000001
2008-04-09,-8.7722
2008-04-14,4.7313
2008-04-16,-5.0682
2008-04-17,-6.4964
2008-04-22,0.14
2008-05-12,13.8158
2008-05-13,13.1142
2008-05-21,-15.9331
2008-05-22,-1.0536
2008-05-27,-7.6486
2008-05-28,0.3382
2008-05-29,1.0608
2008-05-30,-2.7608
2008-06-02,-5.549
2008-06-03,2.1994
2008-06-11,4.8370999999999995
2008-06-12,5.9861
2008-06-13,3.8134
2008-06-19,3.0043
2008-06-23,6.0
2008-06-24,-0.0925
2008-07-02,-4.8093
2008-07-07,6.601
2008-07-14,-7.116
2008-07-18,-7.7324
2008-07-21,2.1929
2008-07-22,-4.6589
2008-07-25,-8.1014
2008-07-31,-2.9871
2008-08-05,-13.1464
2008-08-06,-2.3775
2008-08-25,1.4634
2008-09-04,-6.9338
2008-09-10,-13.6341
2008-09-12,3.066
2008-09-16,-15.4458
2008-09-19,8.3431
2008-10-31,-74.6363
2008-11-03,0.6475
2008-12-01,-22.352899999999998
2008-12-11,-14.0152
2008-12-18,-23.0452
2008-12-22,0.4651
2008-12-31,17.3789
2009-01-27,24.9393
2009-03-24,-1.3113000000000001
2009-04-22,6.1516
2009-05-04,7.5568
2009-05-26,348.4052
2009-05-28,-11.1026
2009-05-29,4.1793
2009-06-08,4.1829
2009-06-10,21.3848
2009-06-15,-0.5499
2009-07-09,2.3291
2009-07-22,13.8858
2009-07-24,-2.1771
2009-07-27,-4.6481
2009-08-10,0.5081
2009-08-26,-10.0
2009-08-28,3.3487999999999998
2009-10-13,-8.3007
2009-11-19,-25.2723
2009-12-03,1.2944
2009-12-04,-3.3495
2009-12-07,-0.4452
2009-12-10,10.1771
2009-12-23,7.293
2010-01-04,5.9576
2010-01-05,0.9853
2010-01-06,0.1131
2010-01-12,-7.9838000000000005
2010-01-13,-5.4185
2010-01-14,4.317
2010-01-21,-5.8983
2010-01-27,-3.1577
