ticker,WLKP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-07-30,28.25
2014-07-31,-1.397
2014-08-01,-3.6244
2014-08-04,-0.8547
2014-08-05,-0.5862
2014-08-06,0.8672
2014-08-07,1.7882
2014-08-08,-0.0676
2014-08-11,-0.2366
2014-08-12,-0.0678
2014-08-13,-2.3398
2014-08-14,1.0417
2014-08-15,0.189
2014-08-18,1.1833
2014-08-19,0.0
2014-08-20,-0.0339
2014-08-21,0.0
2014-08-22,2.4415
2014-08-25,-0.8275
2014-08-26,0.3338
2014-08-27,0.5323
2014-08-28,0.7611
2014-08-29,-0.2627
2014-09-02,3.0293
2014-09-03,2.5248
2014-09-04,4.8628
2014-09-05,-0.8323
2014-09-08,-2.6079
2014-09-09,-0.277
2014-09-10,-0.463
2014-09-11,0.155
2014-09-12,-1.2384
2014-09-15,-1.1285
2014-09-16,-0.9195
2014-09-17,-2.336
2014-09-18,1.0813
2014-09-19,-0.3566
2014-09-22,-2.4723
2014-09-23,-3.1021
2014-09-24,0.9983
2014-09-25,-1.1588
2014-09-26,1.5516999999999999
2014-09-29,-0.8489
2014-09-30,-0.6849
2014-10-01,-0.1724
2014-10-02,-0.5527
2014-10-03,-0.4168
2014-10-06,0.1046
2014-10-07,-0.5923
2014-10-08,-0.4557
2014-10-09,-2.0775
2014-10-10,-1.4383
2014-10-13,-0.6932
2014-10-14,-4.335
2014-10-15,-0.7296
2014-10-16,3.675
2014-10-17,8.7687
2014-10-20,-3.259
2014-10-21,1.3121
2014-10-22,-0.945
2014-10-23,2.4735
2014-10-24,-1.0345
2014-10-27,-0.9059
2014-10-28,2.602
2014-10-29,0.2399
2014-10-30,1.0256
2014-10-31,2.0305
2014-11-03,-0.2322
2014-11-04,-4.4215
2014-11-05,-1.3913
2014-11-06,2.5411
2014-11-07,-0.519
2014-11-10,2.2609
2014-11-11,0.7483
2014-11-12,-0.2363
2014-11-13,-2.8426
2014-11-14,-1.9505
2014-11-17,-0.2842
2014-11-18,0.1069
2014-11-19,0.0712
2014-11-20,0.1422
2014-11-21,-0.0355
2014-11-24,0.2487
2014-11-25,0.567
2014-11-26,0.2467
2014-11-28,-0.3866
2014-12-01,0.4234
2014-12-02,4.884
2014-12-03,2.3451
2014-12-04,-1.0802
2014-12-05,-1.1582
2014-12-08,-3.0465
2014-12-09,2.1064
2014-12-10,-0.7778
2014-12-11,-0.5112
2014-12-12,-3.049
2014-12-15,-2.6148
2014-12-16,-2.2496
2014-12-17,2.8211
