ticker,NECB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-07-07,2.2727
2006-07-10,-0.8889
2006-07-11,-0.4484
2006-07-12,0.9009
2006-07-13,0.7232
2006-07-14,-2.0477
2006-07-17,-0.4525
2006-07-18,0.1818
2006-07-19,0.363
2006-07-20,0.2712
2006-07-21,-0.6312
2006-07-24,-0.2722
2006-07-25,-0.6369
2006-07-26,-0.1832
2006-07-27,-0.9174
2006-07-28,0.7315
2006-07-31,1.5718
2006-08-01,-1.2036
2006-08-02,0.6687
2006-08-03,1.4559
2006-08-04,0.4484
2006-08-07,0.0
2006-08-08,-0.2679
2006-08-09,-0.1791
2006-08-10,0.0
2006-08-11,0.6278
2006-08-14,-0.3565
2006-08-15,0.1789
2006-08-16,0.2679
2006-08-17,0.4452
2006-08-18,0.9752
2006-08-21,-0.7024
2006-08-22,-0.5305
2006-08-23,0.4444
2006-08-24,0.0
2006-08-25,0.4414
2006-08-28,0.2654
2006-08-29,-0.4394
2006-08-30,0.2648
2006-08-31,-0.7042
2006-09-01,0.1773
2006-09-05,0.885
2006-09-06,-0.8772
2006-09-07,0.4425
2006-09-08,0.0
2006-09-11,-0.6167
2006-09-12,-0.2538
2006-09-13,1.1076
2006-09-14,0.0352
2006-09-15,-0.6151
2006-09-18,-0.1768
2006-09-19,-0.3543
2006-09-20,0.4444
2006-09-21,0.0
2006-09-22,0.0
2006-09-25,0.2666
2006-09-26,0.1754
2006-09-27,0.3524
2006-09-28,-0.3512
2006-09-29,0.0
2006-10-02,-0.8811
2006-10-03,0.5333
2006-10-04,-0.1768
2006-10-05,-0.1771
2006-10-06,0.0
2006-10-09,0.7098
2006-10-10,0.0
2006-10-11,-0.1762
2006-10-12,-0.6178
2006-10-13,0.9813
2006-10-16,0.2594
2006-10-17,0.0
2006-10-18,0.0
2006-10-19,-1.3054000000000001
2006-10-20,0.0783
2006-10-23,0.3552
2006-10-24,0.0
2006-10-25,0.177
2006-10-26,-0.53
2006-10-27,0.3552
2006-10-30,-0.2655
2006-10-31,0.7098
2006-11-02,-0.2654
2006-11-03,-0.5289
2006-11-06,-0.0888
2006-11-07,0.4444
2006-11-08,-0.354
2006-11-09,0.3541
2006-11-10,0.6206
2006-11-13,0.1759
2006-11-14,-0.5268
2006-11-15,0.6178
2006-11-16,0.8772
2006-11-17,-0.8696
2006-11-20,-0.8772
2006-11-21,1.7699
2006-11-22,0.0
2006-11-27,-1.3043
2006-11-28,-0.2643
2006-11-29,-0.1767
