ticker,LMFA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-12-09,-0.5618
2015-12-10,0.565
2015-12-11,12.3596
2015-12-14,0.0
2015-12-15,-1.5
2015-12-16,-1.5228000000000002
2015-12-17,-6.6012
2015-12-18,-0.5484
2015-12-21,-0.111
2015-12-23,0.0
2015-12-24,-0.1111
2015-12-28,-0.4338
2015-12-29,-0.0112
2015-12-30,-0.4469
2015-12-31,-0.2259
2016-01-04,-4.3856
2016-01-05,5.7632
2016-01-06,0.2239
2016-01-07,-5.659
2016-01-08,0.1456
2016-01-11,2.7885
2016-01-12,-2.8558
2016-01-13,2.2353
2016-01-14,1.2658
2016-01-15,-0.5682
2016-01-19,1.7143000000000002
2016-01-20,-2.809
2016-01-21,-1.7327
2016-01-22,3.8794
2016-01-25,-4.1889
2016-01-26,-3.0127
2016-01-27,-2.1343
2016-01-28,2.1171
2016-01-29,7.3171
2016-02-01,-0.8636
2016-02-02,-3.2554
2016-02-03,-4.0284
2016-02-04,6.6667
2016-02-05,3.8194
2016-02-08,-5.3512
2016-02-09,-4.8292
2016-02-10,2.9703
2016-02-11,-2.7644
2016-02-12,0.1236
2016-02-16,7.037
2016-02-17,3.9215999999999998
2016-02-18,-8.879
2016-02-19,0.3654
2016-02-22,3.2767
2016-02-23,-4.9354
2016-02-24,0.1236
2016-02-25,-1.1111
2016-02-26,0.9988
2016-02-29,-0.618
2016-03-01,5.8458
2016-03-02,-0.1175
2016-03-03,2.3
2016-03-04,0.1668
2016-03-07,1.4925
2016-03-08,-0.4525
2016-03-09,0.0
2016-03-10,0.5682
2016-03-11,-0.678
2016-03-14,2.3891
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.8889
2016-03-18,-7.489
2016-03-21,1.5476
2016-03-22,-3.0481
2016-03-23,1.2092
2016-03-24,0.3599
2016-03-28,-0.8348
2016-03-29,-0.8403
2016-03-30,-1.8159999999999998
2016-03-31,0.9864
2016-04-01,-2.0757
2016-04-04,1.7456
2016-04-05,0.6127
2016-04-06,0.609
2016-04-07,0.6053
2016-04-08,-1.083
2016-04-11,2.5547
2016-04-12,7.2361
2016-04-13,-6.4118
2016-04-14,-4.1414
2016-04-15,0.6165
2016-04-18,0.8578
2016-04-19,3.2807
2016-04-20,0.0
2016-04-21,-4.2353
2016-04-22,-2.8256
2016-04-25,4.1593
2016-04-26,-2.7795
2016-04-27,5.2434
2016-04-28,5.3381
2016-04-29,-8.7838
2016-05-02,-0.4938
2016-05-03,-0.746
