ticker,KOD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-10-04,1.6
2018-10-05,2.6574999999999998
2018-10-08,-3.931
2018-10-09,-1.1976
2018-10-10,-2.0202
2018-10-11,2.0619
2018-10-12,1.5152
2018-10-15,-0.6965
2018-10-16,-0.1002
2018-10-17,-0.8024
2018-10-18,-1.5167000000000002
2018-10-19,-0.4107
2018-10-22,1.8557000000000001
2018-10-23,-2.7328
2018-10-24,-3.5380000000000003
2018-10-25,3.1284
2018-10-26,4.3933
2018-10-29,-2.3045999999999998
2018-10-30,1.3333
2018-10-31,0.3036
2018-11-01,0.8073
2018-11-02,-2.002
2018-11-05,-4.0858
2018-11-06,-2.7689
2018-11-07,-3.3954
2018-11-08,0.3401
2018-11-09,-2.3729
2018-11-12,-7.4074
2018-11-13,1.875
2018-11-14,6.0123
2018-11-15,0.6944
2018-11-16,9.8851
2018-11-19,-8.0544
2018-11-20,-11.6041
2018-11-21,25.74
2018-11-23,-2.7636
2018-11-26,-2.3158
2018-11-27,1.0776
2018-11-28,-1.7058
2018-11-29,-2.2777
2018-11-30,2.6637
2018-12-03,-14.0541
2018-12-04,-4.4025
2018-12-06,22.3684
2018-12-07,7.5269
2018-12-10,-15.5
2018-12-11,2.4852
2018-12-12,-4.9654
2018-12-13,-6.3183
2018-12-14,-9.0791
2018-12-17,-4.9929
2018-12-18,2.4024
2018-12-19,-2.0528
2018-12-20,-2.3952
2018-12-21,-6.2883
2018-12-24,20.1309
2018-12-26,11.9891
2018-12-27,-11.8005
2018-12-28,-8.6897
2018-12-31,7.2508
2019-01-02,3.3803
2019-01-03,8.0381
2019-01-04,-4.7919
2019-01-07,8.0795
2019-01-08,9.4363
2019-01-09,5.7111
2019-01-10,-3.8136
2019-01-11,-0.8811
2019-01-14,-4.4444
2019-01-15,-2.4419
2019-01-16,2.6222
2019-01-17,-2.5552
2019-01-18,1.3111
2019-01-22,-3.6471
2019-01-23,-3.2967
2019-01-24,-0.7576
2019-01-25,1.7812000000000001
2019-01-28,1.625
2019-01-29,-1.722
2019-01-30,0.0
2019-01-31,-3.8798
2019-02-01,2.3438
2019-02-04,-4.5802
2019-02-05,0.0
2019-02-06,0.0
2019-02-07,-4.6667
2019-02-08,-2.0979
2019-02-11,-3.5714
2019-02-12,3.7037
2019-02-13,-1.4285999999999999
2019-02-14,-2.029
2019-02-15,1.3314
2019-02-19,-0.292
2019-02-20,2.489
2019-02-21,-3.4286
2019-02-22,3.5503
2019-02-25,-1.5714000000000001
