ticker,ACHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-02,0.8333
2011-11-03,3.0303
2011-11-04,-2.1390000000000002
2011-11-07,0.4372
2011-11-08,0.6529
2011-11-09,0.2162
2011-11-10,-1.2945
2011-11-11,2.623
2011-11-14,0.213
2011-11-15,-0.1063
2011-11-16,-1.7021
2011-11-17,0.1082
2011-11-18,0.0
2011-11-21,0.5405
2011-11-22,-1.0753
2011-11-23,-0.1087
2011-11-25,-2.9379999999999997
2011-11-28,-4.7085
2011-11-29,0.9412
2011-11-30,-0.9324
2011-12-01,-1.1764999999999999
2011-12-02,-2.9762
2011-12-05,-3.1902
2011-12-06,1.6477
2011-12-07,5.611
2011-12-08,-2.5974
2011-12-09,-3.0303
2011-12-12,1.25
2011-12-13,-1.2346
2011-12-14,-6.0
2011-12-15,19.8138
2011-12-16,5.4384
2011-12-19,3.6842
2011-12-20,-3.4518
2011-12-21,3.6803
2011-12-22,0.2028
2011-12-23,-0.2024
2011-12-27,-0.1014
2011-12-28,-3.2487
2011-12-29,3.148
2011-12-30,1.4242
2012-01-03,-0.5015
2012-01-04,-1.8145
2012-01-05,0.308
2012-01-06,16.2743
2012-01-09,-0.5282
2012-01-10,1.4159
2012-01-11,-1.2216
2012-01-12,0.7067
2012-01-13,-0.7018
2012-01-17,0.6184
2012-01-18,1.3169
2012-01-19,-0.5199
2012-01-20,0.9582
2012-01-23,-2.6747
2012-01-24,-0.6206
2012-01-25,-3.4344
2012-01-26,1.8938000000000001
2012-01-27,3.7262
2012-01-30,3.1378
2012-01-31,3.8136
2012-02-01,0.4082
2012-02-02,2.6016
2012-02-03,-0.5547
2012-02-06,1.7530000000000001
2012-02-07,0.3132
2012-02-08,3.0445
2012-02-09,0.7576
2012-02-10,-0.8271
2012-02-13,-1.8195999999999999
2012-02-14,1.5444
2012-02-15,0.076
2012-02-16,3.7234
2012-02-17,1.6117
2012-02-21,2.5234
2012-02-22,-2.3207
2012-02-23,-0.288
2012-02-24,0.5054
2012-02-27,0.0718
2012-02-28,0.5025
2012-02-29,-0.0714
2012-03-01,-0.7148
2012-03-02,-1.0079
2012-03-05,2.2545
2012-03-06,-2.3471
2012-03-07,0.874
2012-03-08,2.6715
2012-03-09,3.7271
2012-03-12,0.0
2012-03-13,2.1695
2012-03-14,1.1280999999999999
2012-03-15,6.4961
2012-03-16,0.5545
2012-03-19,-2.2059
2012-03-20,-1.3784
2012-03-21,2.5413
2012-03-22,-1.487
2012-03-23,-1.4465
